src,tgt,complexity_score,quality_score,tagalog_complexity,is_augmented,uses_calamancy
pati b nmn ikw ireject aq s bgay cno b nmn aq  di ba isa lang nmn aqng dinosaur rorororor 🦖 🦖 🦖,pati b nmn ikw ireject aq s bgay cno b nmn aq   di ba isa lang nmn aqng dinosaur rorororor .,8.9,0.8,0.0,False,True
Mrena . Gase gore bone dilawyer di ba buella ?,mrena . gase gore bone dilawyer di ba buella ?,5.0,0.8,0.0,False,True
Oh kyle ! ! ! 18 ka lang ba talaga ? BBS KYLE,oh kyle ! 18 ka lang ba talaga ? bbs kyle .,5.9,0.6,0.0,False,True
Parang tanga HAHAHAHAHA,parang tanga hahahahaha .,2.9,0.6,0.0,False,True
baka nga U lang sana u lang hahaha,baka nga ikaw lang sana ikaw lang hahaha .,4.4,0.6,0.0,False,True
baka dream talaga kasi .. synchronization of dream ? eme,baka dream talaga kasi .. of dream ? eme .,5.0,0.8,0.0,False,True
who .... SINO HUH,huh .,3.2,0.6,0.0,False,True
DI BA NYA MAKIKITA YARN ? ? ?,di ba nya makikita yarn ?,4.4,0.6,0.0,False,True
"and also "" ngay "" HAHAHA",and also ngayon hahaha .,3.8,0.6,0.0,False,True
hOY TOTOO SO MUCH AHAHAHAHAHA,hoy totoo so much ahahahahaha .,3.5,0.6,0.0,False,True
HAHAHAHAH DI BA 😭,hahahahah di ba .,3.2,0.8,0.0,False,True
clyden . yung highlighted sana ahhahaha,clyden . yung highlighted sana ahhahaha .,3.8,0.6,0.0,False,True
Di ba grr 😭,di ba grr .,3.2,0.6,0.0,False,True
My POWER TRIO ! ! syempre di pwedeng maligo nang wala silang tatlo 💖 🥰,my power trio ! ! syempre di pwedeng maligo nang wala silang tatlo .,6.5,0.8,0.0,False,True
parang bigla ako nagutom 😅 😂,parang bigla ako nagutom .,3.8,0.8,0.0,False,True
sorry kung wala kaming namine hahahaha,sorry kung wala kaming namine hahahaha .,3.8,0.8,0.0,False,True
Nd ako ginising mg mga aswang eh,nd ako ginising mg mga aswang eh .,4.1,0.8,0.0,False,True
Nd ako ginising mg mga aswa eh,nd ako ginising mg mga aswang eh .,4.1,0.8,0.0,True,True
sigi ano mas madaling gamitin da dalawa ?,sigi ano mas madaling gamitin da dalawa ?,4.4,0.8,0.0,False,True
ayan ha parang walang pasok mamaya kung magpuyat,ayan ha parang walang pasok mamaya kung magpuyat .,4.4,0.8,0.0,False,True
Not yet so may balak talaga lagyan HAHAHA,not yet so may balak talaga lagyan hahaha .,4.4,0.8,0.0,False,True
Bes isang nomination lang ? ?,bes isang nomination lang ?,3.8,0.6,0.0,False,True
oo beh 😭 maski folklore lps di nominated 😭,oo beh maski folklore lps di nominated .,4.7,0.8,0.0,False,True
Para may additional reference ka .,para may additional reference ka .,3.8,0.8,0.0,False,True
"yes , pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","yes , pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed .",6.8,0.8,0.0,False,True
DI BA UNG IBA PINAPAKITA,di ba ung iba pinapakita .,3.5,0.6,0.0,False,True
bakit puro kayo wtf di ba pwedeng wth naman 🤕,bakit puro kayo wtf di ba pwedeng wth naman .,5.0,0.6,0.0,False,True
oh ji vah ako lang to hahahaha # LITZonCETVExclusives,oh ji vah ako lang to hahahaha .,4.7,0.8,0.0,False,True
Hahaha ... @_Nahleng _ ohhh Di ba .. Beke nemen .. 😂,hahaha . ohhh di ba .. beke nemen .,5.6,0.6,0.0,False,True
Ako nga yung kuripot di ba hahaha,ako nga yung kuripot di ba hahaha .,4.1,0.6,0.0,False,True
di ba looped in ? o parroting lang kasi epal silang pamilya,di ba looped in ? o parroting lang kasi epal silang pamilya .,5.6,0.6,0.0,False,True
Di ba we learn from her ;) QUINCY WITH JOHN ADAJAR,di ba we learn from her ;) quincy with john adajar .,5.3,0.8,0.0,False,True
"Haphy ending naman   to  di ba ? Kasi kung hindi , ipilit natin , pls 😭 😭 😭","haphy ending naman   to   di ba ? kasi kung hindi , ipilit natin , please .",9.4,0.8,0.0,False,True
"Haphy endi naman   to  di ba ? Kasi kung hindi , ipilit natin , pls 😭 😭 😭","haphy ending naman   to   di ba ? kasi kung hindi , ipilit natin , please .",7.4,0.8,0.0,True,True
Parang therapy yung twitter ngayon 🤣,parang therapy yung ngayon .,3.8,0.6,0.0,False,True
ano meron ? ? ?,ano meron ?,3.5,0.8,0.0,False,True
Kapag nag Stay tanga agad ? Di ba pwedeng Totoo talaga yung Tao ?,kapag nag stay tanga agad ? di ba pwedeng totoo talaga yung tao ?,6.2,0.6,0.0,False,True
HA KELAN,ha kelan .,2.6,0.6,0.0,False,True
IT ’S SO HOT HUBADERA FRIENDLY WAHDJAHS parang night weather back at home lang rn i hope it stays jfksjd,its so hot hubadera friendly wahdjahs parang night weather back at home lang rn i hope it stays .,8.3,0.8,0.0,False,True
or si dawn chang para ma - rl talk ‘ to dalawa . parang bata kung umasta,or si dawn chang para ma - rl talk tong dalawa . parang bata kung umasta .,7.1,0.8,0.0,True,True
or si dawn cha para ma - rl talk ‘ tong dalawa . parang bata kung umasta,or si dawn chang para ma - rl talk tong dalawa . parang bata kung umasta .,7.1,0.8,0.0,True,True
or si dawn chang para ma - rl talk ‘ tong dalawa . parang bata kung umasta,or si dawn chang para ma - rl talk tong dalawa . parang bata kung umasta .,7.1,0.8,0.0,False,True
"aww kyle , parang tatay naman to","aww kyle , parang tatay naman to .",6.1,0.6,0.0,False,True
"yessss ate char , pang clown 😭","yessss ate char , pang clown .",6.1,0.6,0.0,False,True
HAHAHAHAHAHA,hahahahahaha .,2.3,0.6,0.0,False,True
daniel padilla parin talaga pinaka ideal guy hays,daniel padilla parin talaga pinaka ideal guy hays .,4.4,0.6,0.0,False,True
Dapat talaga may limitation lang yung pagtulog pag hapon eh,dapat talaga may limitation lang yung pagtulog pag hapon eh .,5.0,0.8,0.0,False,True
beli di ba mana kak wording nya KBL keren banget lhoo,beli di ba mana kak wording nya kbl keren banget lhoo .,5.3,0.8,0.0,False,True
DI BA ! ! ! ! ! !,di ba !,4.4,0.6,0.0,False,True
Si JB parang nasa Big 4 category lahat,si jb parang nasa big for category lahat .,4.4,0.6,0.0,False,True
Hirap talaga uminom nang walang kain potaaaaa,hirap talaga uminom nang walang kain potaaaaa .,4.1,0.8,0.0,False,True
parang milano lang nung 1st set lol,parang milano lang nung 1st set laugh out loud .,4.1,0.6,0.0,False,True
arog kaan . may initiative .,arog kaan . may initiative .,3.8,0.8,0.0,False,True
hahhaa . grabe @fronteethalen nag pop up naman to 🤣 🤣,hahhaa . grabe nag pop up naman to .,5.3,0.6,0.0,False,True
ano maipit day 😂 😂 😂,ano maipit day .,3.8,0.8,0.0,False,True
Hahahaha Di ba sya nasaktan wawa baby natin,hahahaha di ba siya nasaktan wawa baby natin .,4.4,0.8,0.0,False,True
When I broke the news to you parang di ka naman masaya .,when i broke the news to you parang di ka naman masaya .,5.9,0.8,0.0,False,True
gantong oras kasi madalas maingay 😞 😞,gantong oras kasi madalas maingay .,4.1,0.8,0.0,False,True
🧍🏻‍ ♀ ️🧍🏻‍ ♀ ️🧍🏻‍ ♀ ️🧍🏻‍ ♀ ️ talaga ?,talaga ?,5.3,0.8,0.0,False,True
oums minsan may exposing thread pero madalas katarantaduhan,oums minsan may exposing thread pero madalas katarantaduhan .,4.4,0.8,0.0,False,True
naunsa naman ka uy 😭 taru taru kuno 😭,naunsa naman ka uy tarung tarung kuno .,4.7,0.8,0.0,True,True
Hakot yan halata naman . Meron pang uniform .,hakot yan halata naman . meron pang uniform .,4.7,0.8,0.0,False,True
def would date u if i could,def would date ikaw if i could .,4.1,0.8,0.0,False,True
Di ba talaga hawig ? ? ?,di ba talaga hawig ?,4.1,0.6,0.0,False,True
di ba?hehehehe maraming salamat tlaga mga pinklawan.you rock ! ! ! 🤣 😜,di ba?hehehehe maraming salamat tlaga mga rock !,5.9,0.8,0.0,False,True
jay uwi ka kay mhie tine,jay uwi ka kay mhie tine .,3.8,0.8,0.0,False,True
lemme try this huhu xx pero sino b nmn ako di ba huhu sige 😔 🤙 🏻,lemme try this huhu xx pero sino b nmn ako di ba huhu sige .,7.1,0.8,0.0,False,True
Si yorme hahaha . Wara man,si yorme hahaha . wara man .,3.8,0.6,0.0,False,True
nkakapunyeta ksi parang gusto kitang sakalin,ksi parang gusto kitang sakalin .,3.8,0.8,0.0,False,True
Hahaga super cute parang may meeting de abanze or marvels group,hahaga super cute parang may meeting de abanze or marvels group .,5.3,0.8,0.0,False,True
Hahaga super cute parang may meeti de abanze or marvels group,hahaga super cute parang may meeting de abanze or marvels group .,5.3,0.8,0.0,True,True
Kunwari natulog pero pumikit lang talaga,kunwari natulog pero pumikit lang talaga .,3.8,0.8,0.0,False,True
I can t get in 😭 😭,i can t get in .,4.1,0.8,0.0,False,True
cancel onyonyonyo 2 g sya today .. # 5GSpace,cancel onyonyonyo 2 g siya today .,4.7,0.6,0.0,False,True
BAT LASING YUNG TATLO 😭 @Namm_luvsMatcha @nijeongzeeu @sunoofave,bat lasing yung tatlo .,4.4,0.6,0.0,False,True
naunsa naman ka uy 😭 tarung tarung kuno 😭,naunsa naman ka uy tarung tarung kuno .,4.7,0.8,0.0,False,True
di ba 3am ? ? ?,di ba 3am ?,3.8,0.6,0.0,False,True
Minkiaaaa io me lo sono sognata stanotte ... A una festa .. Porca troia .. Posso dirlo ? ? ?,minkiaaaa io me lo sono sognata stanotte . a una festa .. porca troia .. posso dirlo ?,8.0,0.8,0.0,False,True
"Si può dire "" minchia che culo "" ?",si può dire minchia che culo ?,4.7,0.6,0.0,False,True
È da 6 ore che lo urlo quindi figurati,è da 6 ore che lo urlo quindi figurati .,4.7,0.6,0.0,False,True
O ka bo o latlhetse e le thread once mare mme ke di ba baakanyetse .,o ka bo o latlhetse e le thread once mare mme ke di ba baakanyetse .,6.8,0.6,0.0,False,True
Ke di emetse,ke di emetse .,2.9,0.6,0.0,False,True
Hahahaha basta happy blocking 🥰 @SB19Official,hahahaha basta happy blocking .,3.8,0.8,0.0,False,True
kinilig raw ako kanina . Bat di ba halata ? 😂,kinilig raw ako kanina . bat di ba halata ?,5.3,0.8,0.0,False,True
HAHAHHAHAHAHAHA AMPOTA TALAGA,hahahhahahahaha ampota talaga .,2.9,0.6,0.0,False,True
bakit parang werewolf character tong si szwarc adjkdfk,bakit parang werewolf character tong si szwarc adjkdfk .,4.4,0.6,0.0,False,True
Sana lahat ganito kabilis mag announce di ba,sana lahat ganito kabilis mag announce di ba .,4.4,0.8,0.0,False,True
tamlay nyo naman di ba kayo kumain 😕,tamlay nyo naman di ba kayo kumain .,4.4,0.8,0.0,False,True
di ba masarap ulam jan lods ?,di ba masarap ulam jan lods ?,4.1,0.8,0.0,False,True
😈 pero wala ka pang ganyang shoes di ba ? 😈 charot . Haha,pero wala ka pang ganyang shoes di ba ? charot . haha .,6.2,0.8,0.0,False,True
"Oo dai , bakit ? 😁","oo dai , bakit ?",3.8,0.6,0.0,False,True
Biggest slap to that industry plant lol di ba kinaya buhatin?ㅋㅋㅋㅋㅋㅋㅋ,biggest slap to that industry plant laugh out loud di ba kinaya buhatin ?,5.3,0.8,0.0,False,True
"“ ate , ate i need- ” “ WHAT DO YOU NEED ? ! ”","ate , ate i need- what do you need ? !",6.5,0.8,0.0,False,True
facebook.com/100068916608740 … SOCA PARANG FETE ...,soca parang fete .,3.8,0.6,0.0,False,True
HA ? ? ?,ha ?,3.2,0.6,0.0,False,True
MA BAKET,ma baket .,2.6,0.6,0.0,False,True
delulu lang ba talaga ako hahaha,delulu lang ba talaga ako hahaha .,3.8,0.6,0.0,False,True
di ba dapat ley miserab pronunciation don,di ba dapat ley miserab don .,4.1,0.6,0.0,False,True
 di ba   to sunod sunod ponyeta ? ?,di ba   to sunod sunod ponyeta ?,4.4,0.8,0.0,False,True
"MA , HOW CAN YOU DO THIS TO ME ? !","ma , how can you do this to me ? !",5.3,0.6,0.0,False,True
"Dear RA , i think u need to include best kpop album now .. More inclusions di ba ? # GRAMMYs","dear ra , i think ikaw need to include best kpop album now .. more inclusions di ba ?",8.3,0.8,0.0,False,True
Kung makapag puyat ako parang wala akong pasok mamaya 😂,kung makapag puyat ako parang wala akong pasok mamaya .,5.0,0.8,0.0,False,True
gagoo mas lt pag tagalog parang tropa lang kausap HAHAHAAH,gagoo mas lt pag tagalog parang tropa lang kausap hahahaah .,5.0,0.6,0.0,False,True
di naman masamang umasa di ba ? 😔 👉 👈 HAHAHAHAHHAHAHA,di naman masamang umasa di ba ? hahahahahhahaha .,5.3,0.8,0.0,False,True
psst ! sino ka ?,psst ! sino ka ?,3.5,0.6,0.0,False,True
"“ grabe talaga yung grammy , napaka r4c1st ( ? ) , and they used BTS for clout chasing ” very true # 5GSpace","grabe talaga yung grammy , napaka r4c1st ( ? ) , and they used bts for clout chasing very true .",9.2,0.6,0.0,False,True
ganon talaga,ganon talaga .,2.6,0.6,0.0,False,True
Haha supportive naman to,haha supportive naman to .,5.2,0.6,0.0,False,True
😾 😾 😾 kakampe ako !,kakampe ako !,3.8,0.6,0.0,False,True
😂 😂 😂 di ba both sayo ? ?,di ba both sayo ?,4.7,0.8,0.0,False,True
Hooooy yawaaaa talagang K - drama pala talaga to . Hahahahhahahahahahah,hooooy yawaaaa talagang k - drama pala talaga to . hahahahhahahahahahah .,5.3,0.6,0.0,False,True
mutual aku di ba menang ga 14jt nya kak jihan wow,mutual aku di ba menang ga 14jt nya kak jihan wow .,5.3,0.6,0.0,False,True
motor ? ? ? kapag tinamad aq mag ipon bagong fixie n lang ehshshahaha,motor ? kapag tinamad aq mag ipon bagong fixie n lang ehshshahaha .,6.2,0.8,0.0,False,True
tanginang mababa yan,tanginang mababa yan .,2.9,0.6,0.0,False,True
"emz , fix u yon , sino k dyan ? , , ,","emz , fix ikaw yon , sino k dyan ? ,",5.9,0.6,0.0,False,True
istg i m gonna cry talaga huhuhu aaaaaaaaaawwwww,istg i m gonna cry talaga huhuhu aaaaaaaaaawwwww .,4.4,0.6,0.0,False,True
Pero the details tangina but where do I wear this ? Can it fit in my shoe closet ?,pero the details tangina but where do i wear this ? can it fit in my shoe closet ?,7.7,0.8,0.0,False,True
di ba ? nagulat ako biglang lumiit eh potek pwede pala,di ba ? nagulat ako biglang lumiit eh potek pwede pala .,5.3,0.8,0.0,False,True
Hu che cha sra paisy e Nu di ba wai harame e gatli di 🙄 😒,hu che cha sra paisy e nu di ba wai harame e gatli di .,8.8,0.6,0.0,False,True
di ba ?,di ba ?,2.9,0.6,0.0,False,True
di ba pwedeng i - fast forward to ? 😪,di ba pwedeng i - fast forward to ?,11.0,0.8,0.0,False,True
"grabe ka , cheat agad ?  di ba pwedeng kinabisado lang 😭 — HAHAHAHA so umulit curiouscat.qa/dospordoss22/p …","grabe ka , cheat agad ?   di ba pwedeng kinabisado lang hahahaha so umulit .",7.4,0.6,0.0,False,True
di ba nagkape tong mga announcer ? 🥱,di ba nagkape tong mga announcer ?,4.4,0.8,0.0,False,True
di ba dapat sept . 28 HAHAHA,di ba dapat sept . 28 hahaha .,4.1,0.6,0.0,False,True
oo mukhang mabait c CEO,oo mukhang mabait c ceo .,3.5,0.8,0.0,False,True
sagutan n yo nga mga friends 😄 bestiefy.com/q?=qjEgk,sagutan n yo nga mga friends .,4.4,0.8,0.0,False,True
mali mali   yung tanong 3 ampota,mali mali   yung tanong 3 ampota .,3.8,0.6,0.0,False,True
"wala , fake friend ka lang 😿","wala , fake friend ka lang .",4.1,0.8,0.0,False,True
DI BA ? !,di ba ? !,3.2,0.6,0.0,False,True
sino ba naman ako para matulog di ba,sino ba naman ako para matulog di ba .,4.4,0.8,0.0,False,True
Di ba pwede beer,di ba pwede beer .,3.2,0.6,0.0,False,True
Di ba ? Hahaha ! EKIS TALAGA,di ba ? hahaha ! ekis talaga .,6.1,0.6,0.0,False,True
friends pala tayo hindi ako informed,friends pala tayo hindi ako informed .,3.8,0.6,0.0,False,True
kasalanan talaga nung site,kasalanan talaga nung site .,3.2,0.6,0.0,False,True
Haha edi sanaol di ba ?,haha edi sanaol di ba ?,3.8,0.6,0.0,False,True
Huy Masarap siya 🤤 🤩 🤤 pero no pickles for me 😅,huy masarap siya pero no pickles for me .,5.6,0.8,0.0,False,True
Di ba ? Haha sana all cute 😂,di ba ? haha sana all cute .,4.4,0.8,0.0,False,True
Di ba pwede jowa muna hahahahaha,di ba pwede jowa muna hahahahaha .,3.8,0.6,0.0,False,True
di ba ? gago yan HAHAHAHAHAHAHA,di ba ? gago yan hahahahahahaha .,3.8,0.6,0.0,False,True
Parati talaga naka smile si CEO . * pokes cheek 😂,parati talaga naka smile si ceo . pokes cheek .,5.3,0.8,0.0,False,True
Mabalik talaga akong cod pag summer,mabalik talaga akong cod pag summer .,3.8,0.8,0.0,False,True
Di ba,di ba .,2.6,0.6,0.0,False,True
im sure u already know what im talking about @tosunsets 😭,im sure ikaw already know what im talking about .,7.3,0.8,0.0,False,True
di ba ! ! i like where this is going studj i beg,di ba ! ! i like where this is going studj i beg .,5.9,0.8,0.0,False,True
i did my best naman di ba ? but why is it still not enough ?,i did my best naman di ba ? but why is it still not enough ?,6.8,0.8,0.0,False,True
di ba cabbage,di ba cabbage .,2.9,0.6,0.0,False,True
Tapos si yuki yung blood,tapos si yuki yung blood .,3.5,0.6,0.0,False,True
Nakakahiya sila 😂 sobrang babaw talaga,nakakahiya sila sobrang babaw talaga .,3.8,0.6,0.0,False,True
grabeeeeeee huhuhu paurong talaga tumanda,huhuhu paurong talaga tumanda .,3.5,0.8,0.0,False,True
parang MB si Szwarc nung olympics ? ? ? ? !,parang mb si szwarc nung olympics ? !,5.3,0.6,0.0,False,True
di talaga uso satin matulog 🤣,di talaga uso satin matulog .,3.8,0.8,0.0,False,True
grabe talaga sparks neto 😩,grabe talaga sparks neto .,3.5,0.8,0.0,False,True
diz u ?,diz ikaw ?,2.9,0.6,0.0,False,True
"He threw the ri , desperately wishing it would land and capture one of the rubber duckies floating around the mini pool in the booth . He inhaled as he saw the side of the ri hit a duck ’s head , but alas , the duck didn’t go in the ri .","he threw the ring , desperately wishing it would land and capture one of the rubber duckies floating around the mini pool in the booth . he inhaled as he saw the side of the ring hit a ducks head , but alas , the duck didnt go in the ring .",18.2,0.8,0.0,True,True
"He was about to call Jun when he saw a note . He read it as he picked it up . “ Para kay Sej ” , it said . Se smiled .","he was about to call jun when he saw a note . he read it as he picked it up . para kay sej , it said . se smiled .",11.9,0.8,0.0,False,True
uy maganda ba talaga driver  s license hshahaha,uy maganda ba talaga driver  s license .,4.4,0.8,0.0,False,True
"g eve ! eat kna dinner , hoy tita yung libre q","g eve ! eat kna dinner , hoy tita yung libre ako .",5.6,0.8,0.0,False,True
di ba dumating ?,di ba dumating ?,3.2,0.8,0.0,False,True
hindi ? 😭,hindi ?,2.9,0.8,0.0,False,True
Oo nga rold di ba pwede ? 😭 😭,oo nga rold di ba pwede ?,4.7,0.8,0.0,False,True
napaka bastos talaga ni2 kaya walang nag kaka croomf eh,napaka bastos talaga ni2 kaya walang nag kaka croomf eh .,5.0,0.8,0.0,False,True
( 2 ),to ) .,4.9,0.6,0.0,False,True
Basag talaga muka,basag talaga muka .,2.9,0.6,0.0,False,True
sino nanaman yan enaka,sino nanaman yan enaka .,3.2,0.6,0.0,False,True
loe po,loe po .,2.6,0.6,0.0,False,True
grabe mga deadlines ayaw akong takutin haha parang gago hoy ayusin niyo   yan,grabe mga deadlines ayaw akong takutin haha parang gago hoy ayusin niyo   yan .,7.9,0.8,0.0,False,True
bakit ako kasali ? sila lang duh,bakit ako kasali ? sila lang duh .,6.1,0.6,0.0,False,True
‘ di ba 😘 😘,di ba .,3.5,0.6,0.0,False,True
Di ba pwede ipost yun ? Icrop lang ? Skssksks :(((,di ba pwede ipost yun ? icrop lang ? ( ( .,5.3,0.8,0.0,False,True
meron yan ! ! ! ! huhuhu pagdasal natin 🙏,meron yan ! huhuhu pagdasal natin .,7.0,0.8,0.0,False,True
di ba hahahahahaha ganda lang tlg ambag natin haha chz,di ba hahahahahaha ganda lang tlg ambag natin haha chz .,5.0,0.6,0.0,False,True
di ba ! ! !,di ba !,3.5,0.6,0.0,False,True
Di ba pwedeng mayaman nalang agad ?,di ba pwedeng mayaman nalang agad ?,4.1,0.8,0.0,False,True
si naruto kaya marunong,si naruto kaya marunong .,3.2,0.8,0.0,False,True
brb nakaw muna ako,be right back nakaw muna ako .,3.2,0.6,0.0,False,True
"Hahaha akala ata niya BBS KD iyan hahahha .. grabeh kung maghulog ah parang may kalaban , gigil hahahah","hahaha akala ata niya bbs kd iyan kung maghulog ah parang may kalaban , gigil hahahah .",7.7,0.8,0.0,False,True
pag may adults kasi parang they know what  s right kasi even tho mali,pag may adults kasi parang they know what  s right kasi even tho mali .,8.2,0.8,0.0,False,True
Hahaha ako to maganda kahit stressed at depressed,hahaha ako to maganda kahit stressed at depressed .,4.4,0.8,0.0,False,True
Insomnia agad ? Di ba pwedeng Insufficent sleep muna 🤣 🤣 🤣 🤣,insomnia agad ? di ba pwedeng insufficent sleep muna .,9.9,0.6,0.0,False,True
goku nmn may uaasapan us dba,goku nmn may uaasapan us dba .,3.8,0.8,0.0,False,True
"Panlilinla lang   yan , tamad talaga aq HAHAHAHA . Thank you too ! ! !","panlilinlang lang   yan , tamad talaga aq hahahaha . thank you too !",6.5,0.8,0.0,True,True
Eto talaga sagot guys ☺ ️ ❤ ️,eto talaga sagot guys .,4.4,0.8,0.0,False,True
"He threw the ring , desperately wishing it would land and capture one of the rubber duckies floating around the mini pool in the booth . He inhaled as he saw the side of the ring hit a duck ’s head , but alas , the duck didn’t go in the ring .","he threw the ring , desperately wishing it would land and capture one of the rubber duckies floating around the mini pool in the booth . he inhaled as he saw the side of the ring hit a ducks head , but alas , the duck didnt go in the ring .",18.2,0.8,0.0,False,True
"He threw the ri , desperately wishing it would land and capture one of the rubber duckies floating around the mini pool in the booth . He inhaled as he saw the side of the ri hit a duck ’s head , but alas , the duck didn’t go in the ri .","he threw the ring , desperately wishing it would land and capture one of the rubber duckies floating around the mini pool in the booth . he inhaled as he saw the side of the ring hit a ducks head , but alas , the duck didnt go in the ring .",18.2,0.8,0.0,True,True
reaver better padin lods pero yung karambit talaga,reaver better padin lods pero yung karambit talaga .,4.4,0.6,0.0,False,True
ikaw parin pala talaga,ikaw parin pala talaga .,3.2,0.6,0.0,False,True
Talaga ba ? 😂,talaga ba ?,5.2,0.6,0.0,False,True
potangina ruin 1 talaga start,potangina ruin 1 talaga start .,3.5,0.8,0.0,False,True
SAMEDT FEELSSSSS HUHUHUHUHU . BEST YEAR TALAGA NUNG 2018 HUHUHUHUHU,samedt feelsssss huhuhuhuhu . best year talaga nung 2018 huhuhuhuhu .,5.0,0.6,0.0,False,True
bobo talaga ako mag english minsan pero at least minsan lang WHAHHAAHAHAHAAHH,bobo talaga ako mag english minsan pero at least minsan lang .,5.6,0.8,0.0,False,True
Kaya nga .. Hahahaha,kaya nga .. hahahaha .,3.2,0.6,0.0,False,True
User lang naman yang si Guramis .,user lang naman yang si guramis .,4.1,0.6,0.0,False,True
WOW SO GALING TALAGA IANNE < //3,wow so galing talaga ianne 3 .,4.1,0.6,0.0,False,True
NGAYON LANG NATAPOS 🤣,ngayon lang natapos .,5.2,0.8,0.0,False,True
pwede ba isang streamer nalang mag stream parang walang views lol,pwede ba isang streamer nalang mag stream parang walang views laugh out loud .,5.3,0.8,0.0,False,True
"Panlilinlang lang   yan , tamad talaga aq HAHAHAHA . Thank you too ! ! !","panlilinlang lang   yan , tamad talaga aq hahahaha . thank you too !",6.5,0.8,0.0,False,True
"but honestly , sana talaga bayad kayong mga robredogs and anti - marcos kasi sobrang saklap kung tanga kayo for free :((","but honestly , sana talaga bayad kayong mga robredogs and anti - marcos kasi sobrang saklap kung tanga kayo for free ( .",8.6,0.6,0.0,False,True
Cutie talaga 😍,cutie talaga .,4.9,0.8,0.0,False,True
Bobo ka talaga wala ka alam,bobo ka talaga wala ka alam .,3.8,0.8,0.0,False,True
H - ha,h - ha .,4.9,0.6,0.0,False,True
"totoo , cno kaya ? di ba @imissyounish","totoo , cno kaya ? di ba .",4.4,0.6,0.0,False,True
Ha ha ha lang geh ! ! ! ! ! Awit,ha ha ha lang geh ! awit .,5.3,0.6,0.0,False,True
Puyat ka talaga kakarefresh 😂,puyat ka talaga kakarefresh .,3.5,0.6,0.0,False,True
great inspiration ever since pag nag momotion edit . deym,great inspiration ever since pag nag momotion edit . deym .,7.0,0.6,0.0,False,True
2st ate typooo,2st ate .,2.9,0.6,0.0,False,True
magalit kayo kung sinadya namin pero sinadya ba talaga namin ?,magalit kayo kung sinadya namin pero sinadya ba talaga namin ?,5.3,0.8,0.0,False,True
parang walang shota kung umasta ah 😂,parang walang shota kung umasta ah .,4.1,0.8,0.0,False,True
parang gago patulog palang ako saka pinatay ac 🙂,parang gago patulog palang ako saka pinatay ac .,4.7,0.8,0.0,False,True
OO 😭 😭 😭 😭 😭,oo .,3.8,0.8,0.0,False,True
