src,tgt,complexity_score,quality_score,tagalog_complexity,is_augmented,uses_calamancy
tamlay nyo naman di ba kayo kumain,"you re so listless , didn t you eat ?",4.1,0.8,0.0,False,True
di ba masarap ulam jan lods ?,"isn t the food there delicious , lods ?",4.1,0.8,0.0,False,True
di ba dapat ley miserab pronunciation don,shouldn t the pronunciation there be les misérables ?,4.1,0.6,0.0,False,True
 di ba   to sunod sunod ponyeta ? ?,"isn t this in order , damn it ? ?",4.4,0.8,0.0,False,True
Di ba pwedeng mayaman nalang agad ?,can t i just be rich right away ?,4.1,0.8,0.0,False,True
@vicegandako 🤔 ..... Teka lang ...,wait a minute .,3.8,0.6,0.0,False,True
Jah,dada ! pwamis kaw,2.3,0.6,0.0,False,True
Leave,"pakiusap ni justin . ken can t believe what he  s hearing . "" "" j - jah",2.3,0.8,0.0,False,True
"N - No ... Sebby — "" "" "" "" He has an asthma",i swear to god . i will never forgive you,6.2,0.8,0.0,False,True
DI BA UNG IBA PINAPAKITA,aren t the others being shown ?,3.5,0.6,0.0,False,True
bakit puro kayo wtf di ba pwedeng wth naman 🤕,"why are you all   wtf   , can t it be   wth   for a change ?",5.0,0.6,0.0,False,True
ratio is 3 wins over 5 AOTY noms omg,ratio is 3 wins over 5 aoty noms oh my god .,6.7,0.8,0.0,False,True
Bes isang nomination lang ? ?,"bes , just one nomination ? ?",3.8,0.6,0.0,False,True
oo beh maski folklore lps di nominated,"yes , beh . even folklore lps wasn t nominated .",4.1,0.8,0.0,False,True
"yes , pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","yes , but she submitted the folklore long pond sessions for best music film but it was snubbed",6.8,0.8,0.0,False,True
"Haphy ending naman   to  di ba ? Kasi kung hindi , ipilit natin , pls","this has a happy ending , right ? because if not , let  s force it , please .",6.5,0.8,0.0,False,True
"Haphy endi naman   to  di ba ? Kasi kung hindi , ipilit natin , pls","this has a happy ending , right ? because if not , let  s force it , please .",6.5,0.8,0.0,True,True
Hahaha ... @_Nahleng _ ohhh Di ba .. Beke nemen ..,hahaha ... ohhh right .. maybe .. ( beke nemen is slang for   baka naman   or   maybe   ),5.3,0.6,0.0,False,True
I know,"kayang kaya ko ken . "" "" justin stopped for a second before inhaling deeply",2.6,0.8,0.0,False,True
Legit ba yan ?,is that legit ?,3.2,0.6,0.0,False,True
 di ba uso kumot sayo,aren t blankets a thing for you ?,3.5,0.6,0.0,False,True
uso naman pero iba pag may ka hug HAHAHAHAHA,"it  s a thing , but it  s different when you have someone to hug hahahahaha .",4.7,0.8,0.0,False,True
Di ba,right ?,2.6,0.6,0.0,False,True
cute di ba haha 🫔 ito mukhang lumpia 🤣,"cute , right ? haha , this one looks like a spring roll .",4.7,0.8,0.0,False,True
Di ba hurdile di tlhopo tsa bo mayor,didn t the mayoral elections already pass ?,4.4,0.6,0.0,False,True
"and also "" ngay "" HAHAHA",and also   ngay   ( short for   ngayon   which means   now   ) hahaha,3.8,0.6,0.0,False,True
hOY TOTOO SO MUCH AHAHAHAHAHA,"hey , so true , so much ahahahahaha .",3.5,0.6,0.0,False,True
HAHAHAHAH DI BA,hahahahah right ?,2.9,0.6,0.0,False,True
clyden . yung highlighted sana ahhahaha,"clyden . the highlighted one , hopefully , ahhahaha .",3.8,0.6,0.0,False,True
Kung kami ganito,"kung kami ganito , dapat kayo din . alangan namang kami lang . damay - damay na .",4.9,0.6,0.0,False,True
bat 3 agad HAHHAHAHA di ba kayo marunong mag count chz,why 3 right away ? hahhahaha don t you know how to count ? just kidding .,5.3,0.8,0.0,False,True
 di ba crinushback na kita,didn t i crush you back ?,4.75,0.6,0.5,False,True
"lamig , pwedeng pa hug ?","it  s cold , can i have a hug ?",5.05,0.6,0.5,False,True
totoo yan kahit dito din malapit samin dami bata tapos yung iba walang facemask,"that  s true , even here near us , there are a lot of kids and some don t have facemasks .",7.45,0.8,0.5,True,True
totoo yan kahit dito din malapit samin daming bata tapos yung iba walang facemask,"that  s true , even here near us , there are a lot of kids and some don t have facemasks .",7.45,0.8,0.5,False,True
"Eh saan ba ? Mukha bang suspicious yung doc ? Di ba dapat may letterhead yan , bakit wala ? Tapos normally may qr code din yan","so where is it ? does the document look suspicious ? shouldn t it have a letterhead , why doesn t it ? and normally it has a qr code too .",11.35,0.8,0.5,False,True
hoy may paspace si jini space din kayo pabasa uli @fyeahaetzy di ba @yjmnss,"hey , jini has a space , you guys have a space too , read it again , right ?",7.45,0.8,0.5,False,True
Bkit lagi nominated tong oliv1a rodr1g0 na to pero bts hindi ? ? ? ? ?,why is this olivia rodrigo always nominated but bts isn t ?,8.05,0.6,0.5,False,True
Umalis ka na,ano ba ? ! i said,4.15,0.8,0.5,False,True
"Talagang sinabi eh , leni leave na 🤣","he really said it , leni leave now",5.65,0.8,0.5,False,True
Ang brainy di ba hahahaha,"so brainy , right ? hahahaha .",4.75,0.7,0.5,False,True
Iyon naman pala eh . Tapos gusto mo siyang ilayo sakin ? No,"walang aalis . "" ""  di na napigilan ni justin ang luha niya dahil sa sobrang inis na nararamdaman . he  s used to deciding on his own when it comes to sebby but now is a different situation .",7.15,0.8,0.5,False,True
Onsehan na 🤣 🤣 🤣 🤣 🤣,it  s a double - cross .,9.35,0.6,0.5,False,True
baka yung lineup ng u title track ?,maybe it  s the lineup for the u title track ?,5.65,0.7,0.5,False,True
di ba ma hahaha worth it din pala,right ma ? hahaha it was worth it after all .,5.65,0.8,0.5,False,True
Wag kayo seryoso talaga ang ate Sheng @SB19Official # SB19 # Bazinga_SB19,"don t you guys , ate sheng is really serious .",6.85,0.7,0.5,False,True
Huwag mo kasi akong imute para may loveteam .,don t mute me so we can have a loveteam .,5.95,0.8,0.5,False,True
bet ko to may gc p ba,"i like this , is anyone still awake ?",5.35,0.8,0.5,True,True
syempre kaya nga lodibabes kita eh sept 27 libras lang naman red flag sa sign natin eh,"of course , that  s why you re my lodibabes , eh . september 27 libras are the only red flag in our sign , eh .",8.35,0.7,0.5,False,True
"Kung ayaw niyo , Best OPM album na lang # Grammys","if you don t want to , then just best opm album # grammys",6.55,0.8,0.5,False,True
DI BA NILA NADESERVE ?,didn t they deserve it ?,4.75,0.6,0.5,False,True
Damo ko balon di ba usto nyo ? Jk,"i have a lot of wells , don t you want some ? jk",5.95,0.8,0.5,False,True
Di ba kapag mobile data iba iba ang ip address nun ?,"isn t it that when you use mobile data , the ip address changes ?",6.85,0.7,0.5,False,True
bet ko to may gcng p ba,"i like this , is anyone still awake ?",5.35,0.8,0.5,False,True
Witweeeeew ! Dapat matagal na .,witweeeeew ! it should have been done a long time ago .,5.05,0.8,0.5,False,True
@vicegandako tinawag syang mercys3at .. So dun nakuha idea tungkol sa pamumuno ?,@vicegandako he was called mercyseat .. so that  s where the idea about leadership came from ?,7.15,0.9,0.5,False,True
Di ba si mark yung naka extend yung paa na naka upo hihu,isn t mark the one with his leg extended while sitting down ?,7.15,0.8,0.5,False,True
omggg sino tung naka all white na naka upo ? ? ? ?,omggg who is this person in all white sitting down ? ? ? ?,7.15,0.8,0.5,False,True
Luh ? ? Di ba awkward ? ? — Hindi . Hahaha makalat din ako irl eh . Why do you think I’m here ? Hahaha curiouscat.qa/neverserene/po …,luh ? ? isn t it awkward ? ? — no . hahaha i m also messy irl . why do you think i m here ? hahaha .,11.65,0.8,0.5,False,True
Hirap matulog ng gutom HAHAHA,it  s hard to sleep when you re hungry hahaha,4.75,0.9,0.5,False,True
Ang saklap lang di ba ? WeTueStay with MahMygz # MAHMYGZ4LIFE,"it  s just so tragic , right ? wetuestay with mahmygz",8.55,0.7,0.5,False,True
ilang beses na pinag tagpo ngunit di tinadhana ! WeTueStay with MahMygz # MAHMYGZ4LIFE,brought together many times but not destined to be ! wetuestay with mahmygz,9.45,0.8,0.5,False,True
Tropa ni oskie yan ...,that  s oskie  s friend .,4.75,0.6,0.5,False,True
saw this one sa tl tas what if hindi pala si jungwoo yung bowl cut ... si sungchan pala ? t7s unit with sungtaro nga,saw this one on my timeline and what if it  s not jungwoo with the bowl cut ... it  s sungchan ? it  s really the t7s unit with sungtaro .,10.75,0.7,0.5,False,True
"mellow touch , istasyon ng mga motel di ba ? puro love songs ...","mellow touch , the station for motels , right ? all love songs ...",7.45,0.7,0.5,False,True
At paanu kaya nila ginawa yan ? They invited themselves went to the lab and demanded they be tested ? Pwede ba yan ?,"and how did they do that ? they invited themselves , went to the lab and demanded they be tested ? is that allowed ?",10.45,0.8,0.5,False,True
beh bkt bkt k pa nagreply,"bae , why , why did you still reply ?",5.05,0.8,0.5,False,True
"-- Ken is grippi so tight on the steering wheel and it  s quite obvious due to his knuckles that are starting to turn pale . "" Ken , kalma na . "" Josh tried his best to comfort his friend but the latter doesn t find it helpful . "" Tangina ! If only I can ... I d really punch him .","-- ken is gripping so tight on the steering wheel and it  s quite obvious due to his knuckles that are starting to turn pale . "" ken , calm down . "" josh tried his best to comfort his friend but the latter doesn t find it helpful . "" fuck ! if only i can ... i d really punch him .",22.45,0.8,0.5,True,True
Ang ganda di ba hahhahaha,"it  s beautiful , right ? hahhahaha .",4.75,0.7,0.5,False,True
ano english ng petchay,what is the english of petchay ( bok choy ) ?,4.45,0.7,0.5,False,True
 di ba pwedeng maging grateful na lang siya,can t he just be grateful ?,5.65,0.8,0.5,False,True
The audacity of this guy ! Commercial sa ABS - CBN ? !,the audacity of this guy ! a commercial on abs - cbn ? !,7.15,0.7,0.5,False,True
? ? ? ? ? DI BA PWEDENG ANAK NI KRIS,? ? ? ? ? can t it be kris  s son ?,12.55,0.6,0.5,False,True
bimby parang pilay na kuting,bimby sounds like a lame kitten .,4.75,0.6,0.5,False,True
bimby na lang,just name it bimby .,4.15,0.6,0.5,False,True
tomboy k din di ba,"you re a tomboy too , right ?",4.75,0.6,0.5,False,True
Depende sa kanya kasi hindi niya sinubmit Fearless di ba haha,"it depends on her because she didn t submit fearless , right ? haha .",8.55,0.9,0.5,False,True
"-- Ken is gripping so tight on the steering wheel and it  s quite obvious due to his knuckles that are starting to turn pale . "" Ken , kalma na . "" Josh tried his best to comfort his friend but the latter doesn t find it helpful . "" Tangina ! If only I can ... I d really punch him .","-- ken is gripping so tight on the steering wheel and it  s quite obvious due to his knuckles that are starting to turn pale . "" ken , calm down . "" josh tried his best to comfort his friend but the latter doesn t find it helpful . "" fuck ! if only i can ... i d really punch him .",22.45,0.8,0.5,False,True
"-- Ken is gripping so tight on the steeri wheel and it  s quite obvious due to his knuckles that are starting to turn pale . "" Ken , kalma na . "" Josh tried his best to comfort his friend but the latter doesn t find it helpful . "" Tangina ! If only I can ... I d really punch him .","-- ken is gripping so tight on the steering wheel and it  s quite obvious due to his knuckles that are starting to turn pale . "" ken , calm down . "" josh tried his best to comfort his friend but the latter doesn t find it helpful . "" fuck ! if only i can ... i d really punch him .",22.45,0.8,0.5,True,True
- very good 5 points - pake mo @03spicyzz,- very good 5 points - what  s it to you ?,5.95,0.6,0.5,False,True
ano pa bang bago di ba ? hmmp,"what else is new , right ? hmmp .",7.65,0.6,0.5,False,True
HUUUUUU PERO ANDAMI KO NANG SAPATOS,huuuuuu but i already have so many shoes .,5.05,0.6,0.5,False,True
"@skybi18 _ Result can be reproduce easily . Show the proof that the specimen sample was really came from him , sa magnanakaw .....","result can be reproduced easily . show the proof that the specimen sample really came from him , the thief .....",10.45,0.9,0.5,False,True
Talaga ba ? picture mo nga .,really ? take a picture of yourself .,5.35,0.6,0.5,False,True
"- h - h - h - h - hindi ko sila k - k - k - kilala - hi , yea sure","- i - i - i - i - i don t k - k - k - know them - hi , yea sure",42.45,0.6,0.5,False,True
- himala - @kixrubyjane tuloy mo daw be,"- miracle - they said you should continue , be .",11.65,0.8,0.5,False,True
- ily - kausapin mo mona si teddy,- ily - talk to teddy first .,5.65,0.8,0.5,False,True
- oo na mahal @1NT0JEN - ka,"- yes , dear - you .",5.35,0.6,0.5,False,True
- hindi naman mukhang ikaw to di ba ? @03spicyzz pero sa true lang - ilyt,"- this doesn t look like you , right ? but for real - i love you too .",10.05,0.7,0.5,False,True
rold uu masama akong tao pero deserve ko naman to ‘ di ba ? If my clients deserved it then ako siyempre XD,"lord , yes , i m a bad person , but i deserve this , right ? if my clients deserved it , then of course i do too , xd .",12.15,0.8,0.5,False,True
Huy di ba talaga uso bg music sa kanila parang last year meron naman,"hey , is background music not a thing for them ? it seems like there was some last year .",7.45,0.9,0.5,False,True
Pusa mo yan dai ?,"is that your cat , sis ?",4.75,0.8,0.5,False,True
Di ba pwede makita sa cctv ?,can t it be seen on cctv ?,5.35,0.9,0.5,False,True
Ahh okay . Im expecting kase meron sya more than 2 nomination,ahh okay . i m expecting because she has more than 2 nominations .,8.1,0.8,1.0,False,True
ayon skl kamiss gumala na hindi puro mall lang . umay sa mall puta wala bang ibang view dyarn,"there , just sharing , i miss going out to places that aren t just malls . i m sick of the mall , damn it , isn t there another view there ?",10.2,0.9,1.0,False,True
di ba nonexistent pa si praram sa lm universe ? grade 10 or 11 palang siya lol,"isn t praram non - existent in the lm universe yet ? he  s only in grade 10 or 11 , lol .",9.6,0.7,1.0,False,True
Lasing na ba ang lahat ? Sana sabay - sabay tayo di ba ? ? x.com/i/spaces/1gqxvlmYvOjGB,"is everyone drunk ? i hope we re all together , right ? ?",9.3,0.7,1.0,False,True
Quota na daw si taylor sa grammys eh Hahhaha charrr,"they say taylor has reached her quota at the grammys , hahaha , just kidding .",7.5,0.7,1.0,False,True
Saka may limitations siguro sa contract niya dati . I m sure mas may control siya sa contract niya ngayon .,and maybe there were limitations in her previous contract . i m sure she has more control over her contract now .,10.8,0.9,1.0,False,True
Ung last na may ganto di ba natalo ? So lam na this …,"the last one who had this lost , right ? so we know this ...",8.7,0.8,1.0,False,True
Ito pala full version . Di ko alam kung bakit nacut huhu Basta ang funny yawa shdjdhsjd,"so this is the full version . i don t know why it was cut , huhu . it  s just so funny , damn .",9.6,0.9,1.0,False,True
porke naka gami chair eh streamer na di ba pedeng pampabilis lang to ng computer hahahahaha,"just because i have a gaming chair , i m a streamer ? can t it just be to make my computer faster ? hahahahaha .",9.3,0.9,1.0,True,True
ang gulo talaga sa totoo lang but your heart still saying OK lang .,"it  s really chaotic , to be honest , but your heart is still saying it  s okay .",8.7,0.9,1.0,False,True
OZ 2 DAY CONCERT PASS GA simple ulit . Click the link and drop your twitter username ! Link closes 6PM Friday . FAVOR ! screenshot naman kayo ng votes nyo sa RAWR tapos reply nyo dito . Labyu @SB19Official # SB19 # RAWRAwards2021 # RAWRATIN # Bazinga_SB19 forms.gle/Cd4UZPnyijjx8uHe7,oz 2 day concert pass ga . simple again . click the link and drop your twitter username ! link closes at 6pm friday . favor ! please screenshot your votes for rawr and reply here . love you .,19.2,0.9,1.0,False,True
lakas ng loob kong magpuyat tas second dose ko bukas 🤜 🤓,i have the audacity to stay up late when i have my second dose tomorrow .,8.1,0.9,1.0,False,True
"Di ba pwedeng ilabas nalang yung list , bakit ba kasi live antok na ko beh","can t they just release the list , why does it have to be live , i m sleepy , beh .",9.3,0.8,1.0,False,True
exactly its not like that fashion style is only made for bp jusko kakaloka binibig deal nila lahat halata mga uhaw sa cb jk,"exactly . it  s not like that fashion style is only made for bp , my gosh , it  s crazy . they make a big deal out of everything , it  s obvious they re thirsty for a comeback , jk .",11.7,0.9,1.0,True,True
HHAHAHAHAHHHHA AMININ MO NA JUJI NORMAL LANG NAMAN UMUTOT 🤣 🤣,"hhahahahahhhha admit it , juji , it  s normal to fart .",9.8,0.6,1.0,False,True
POTANGINA DI BA SI MIMIYUUUUHHHH YARN ? ! ? ! ? ! # BNSJejevility2021D2,"fuck , isn t that mimiyuuuuhhhh ? ! ? ! ? !",10.7,0.8,1.0,False,True
exactly its not like that fashion style is only made for bp jusko kakaloka binibig deal nila lahat halatang mga uhaw sa cb jk,"exactly . it  s not like that fashion style is only made for bp , my gosh , it  s crazy . they make a big deal out of everything , it  s obvious they re thirsty for a comeback , jk .",11.7,0.9,1.0,False,True
"Wait lang gyu , sure ka na ? Tutulog na dapat ? Di ba pwedeng basa comment ka muna .","wait a minute , gyu , are you sure ? are you going to sleep already ? can t you read the comments first ?",10.5,0.8,1.0,False,True
porke naka gaming chair eh streamer na di ba pedeng pampabilis lang to ng computer hahahahaha,"just because i have a gaming chair , i m a streamer ? can t it just be to make my computer faster ? hahahahaha .",9.3,0.9,1.0,False,True
Kahit ano pa sabihin mo ikaw talaga mas mukhang drug adik at magnanakaw kesa ky bbm hahahaha partida hndi ka nagpa drug test sge libre drop drug test dito,"no matter what you say , you really look more like a drug addict and a thief than bbm , hahaha , and you haven t even taken a drug test . go ahead , free drop drug test here .",13.2,0.8,1.0,False,True
di ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan,can t i just tell sir that the lot had an earthquake so i can t make a floor plan ?,9.6,0.9,1.0,False,True
finally found binder sleeves that is suitable for the carat kit binder and kasya yung non standard size pcs tapos 200 slots pa since back to back siya and affordable oh di ba pwede na ako endorser hahahaha,"finally found binder sleeves that are suitable for the carat kit binder and the non - standard size pcs fit , plus it has 200 slots since it  s back to back and it  s affordable , oh right , i can be an endorser now , hahaha .",17.9,0.8,1.0,False,True
di ba pedeng best americana album BE agad hahahaha antok na ko,"can t it be best americana album   be   right away ? hahaha , i m sleepy .",8.1,0.6,1.0,False,True
well sa mga ayaw maniwala pwede naman kayo mag file ng petition ... ganyan naman uso ngayon di ba,"well , for those who don t want to believe , you can file a petition ... that  s the trend now , right ?",10.2,0.9,1.0,False,True
Buti pa siya may jowa na di ba hahahuhu,"good for her , she has a boyfriend now , right ? hahahuhu .",7.2,0.8,1.0,False,True
Di ba sila nominated ? Teka di ako masyado updated di ako masyado nag iiscroll madalas,"aren t they nominated ? wait , i m not very updated , i don t scroll very often .",10.55,0.8,1.5,False,True
"12 ? I’m at school in the middle of back bay right now , haven’t seen a bike since October .","12 ? i m at school in the middle of back bay right now , haven t seen a bike since october .",12.05,0.8,1.5,False,True
Hahahaha nakaka gg kasi teh,"hahaha , it  s so frustrating , sis .",7.25,0.8,1.5,False,True
"help me choose 1 , 2 , 3 , or 4 ? ?","help me choose 1 , 2 , 3 , or 4 ? ?",9.65,0.8,1.5,False,True
"uhhhhh , 3 na nga lang , 3 din sa iba eh","uhhhhh , i guess just 3 , others are also choosing 3 .",9.35,0.7,1.5,False,True
buy syringe yung pinaka maliit lang then milk .,buy the smallest syringe then milk .,8.45,0.8,1.5,False,True
- hindi gago - kiligin na ba ko be ? @minshui _ - bukas na,"- not stupid - should i get butterflies now , be ? - tomorrow .",10.25,0.8,1.5,False,True
Parang may lamay sa grammy eh noh antamlay magsalita di ba kayo naka kaen,"it  s like there  s a wake at the grammys , huh ? they speak so listlessly , haven t you eaten ?",9.95,0.9,1.5,False,True
"... medyo outdated na sila , kaya slim na ang chance sir ...","they re a bit outdated , so the chances are slim , sir .",9.65,0.7,1.5,False,True
Mali ang mga intelligence mo po tatay Digs .. love u po # BBMSARA wala ng iba p,"your intelligence is wrong , father digs ... i love you ... there  s no one else .",11.15,0.9,1.5,False,True
tAngina niyo di ba kayo mag rereply,"fuck you , aren t you going to reply ?",7.85,0.8,1.5,False,True
"Look whos on the side , si hakdog di ba","look who  s on the side , it  s hakdog , right ?",8.75,0.8,1.5,False,True
the trauma u gave me tapos ganyan ka ngayon . ang tanda mo na di ba uso character development,"the trauma you gave me and now you re like that . you re old now , isn t character development a thing ?",11.45,0.9,1.5,False,True
If you happen to survive all the lawsuits,hinding hindi kita titigilan . run as far as you can,8.15,0.8,1.5,False,True
"bakit ba kasi nagsabay - sabay teaser ni jongin , nct 2021 at midterms ko h di ba pwedeng wala na lang exam","why did jongin  s teaser , nct 2021 , and my midterms all happen at the same time ? can t we just not have exams ?",12.65,0.8,1.5,False,True
"Kaya nga .. huhu .. sana this wednesday , okay pa rin ang pusong dilaw","that  s right .. huhu .. i hope this wednesday , the yellow heart will still be okay .",10.25,0.7,1.5,False,True
badtrip padin umasa ako sa music video tapos dun sa last 3 categories wala pa sila ano yun ? out of 7 isa lang di ba sila marunong tumingin mga takot lang ksi eh hays,"still in a bad mood , i was hoping for the music video and then in the last 3 categories , they weren t there , what was that ? only one out of 7 , don t they know how to look , they re just scared , hays .",16.25,0.9,1.5,False,True
"kingina  di ba masaya buhay ng mga   to , tabi nyo na ako na jan","damn , aren t these people  s lives happy ? move over , i ll be there .",10.25,0.9,1.5,False,True
