src,tgt
tangina niyo di ba kayo mag rereply,"Damn it, won't you guys reply?"
"Kasi if it's not legit, the mere mention of St Luke's as the testing center, St Luke's could have reacted right away, di ba? But so far, wala namang ganoon...DESPERADA lang ba talaga sila na mapatalsik si BBM","Because if it's not legit, the mere mention of St. Luke's as the testing center, St. Luke's could have reacted right away, right? But so far, there's nothing like that...Are they really just desperate to remove bbm?"
butter wala sa song of the year? di ba kayo informed kung anong achievements ng butter??? gagi nood nood ng news at magcheck sa twitter mga hangal,"Butter isn't in the song of the year? Aren't you informed about Butter's achievements??? Go watch the news and check on Twitter, you fools!"
"Grocery scammers seem to be targeting opposition figures. Yesterday, someone ordered P100k worth of Metromart groceries under the name of presidential bet and VP Leni Robredo on a cash on delivery basis. The items have been returned and the riders were not charged. |","Grocery scammers seem to be targeting opposition figures. Yesterday, someone ordered P100k worth of Metromart groceries under the name of presidential bet and VP Leni Robredo on a cash on delivery basis. The items have been returned and the riders were not charged."
Bakit nandito pa ang mga ungas na rappler? Di ba kinansela na ng SEC ang lisensya nyo dahil mga fakenewsmaker kayo? Layas na kayo? Hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! Layas! Pweee!,Why are the idiots from Rappler still here? Didn't the SEC cancel your license because you're fake news makers? Get out of here! We don't need biased media that's why your companions are in jail because of your fake news stories! Get out! Pweee!
Listen to her lmfao what the hell do you mean?,Listen to her lmfao what the hell do you mean?
The thing about the Turkey day games is this to me: Why would you not want your best teams playing on a day everybody is watching?,The thing about the Turkey day games is this to me: Why would you not want your best teams playing on a day everybody is watching?
Will never for the life of me understand how the lions and cowboys monopolized that entire audience and no one in the league really seems to care,Will never for the life of me understand how the lions and cowboys monopolized that entire audience and no one in the league really seems to care
Puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di ba pwedeng gcash date na lang?,These people keep on inviting for coffee dates maybe I went too over-the-top manifesting that Starbucks planner. Can't we just have a GCash date instead?
Tangina bat di ba ko natuto leche,"Damn it, why haven't I learned freaking bastard"
"Looking for the UV Express Driver who brought me home. Since I was in pain and dazed, was not able to get hold of his name. But he was able to have a pic with me I remember. Owe him a lot. As I was alone there sprawled on the street. Luckily he passed by and I flagged him.","Looking for the UV Express Driver who brought me home. Since I was in pain and dazed, was not able to get hold of his name. But he was able to have a pic with me I remember. Owe him a lot. As I was alone there sprawled on the street. Luckily he passed by and I flagged him."
"Magdala ka ng escort, yaman ka di ba? Dagdagan mo na din ng ambulansya.","Bring an escort with you, you're rich, right? Add it up with an ambulance too."
Uy beh akoooo .. hindi player,Hey girl meee... I'm not a player.
beh bkt bkt k pa nagreply,"Girl, why did you even reply?"
"inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka","I'm just updating you, girl, so maybe next time you'll know. I'm still not a player, but at least you're updated, right? Say 'uwu' if you agree."
u-uwu,u-uwu
"Non-athlete here pero to these organization/s, di ba kayo nababahala na how many sportsmen have changed their citizenship because of our system? Perahan na lang? Hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice.","Non-athlete here, but to these organizations, aren't you worried about how many sportsmen have changed their citizenship because of our system? Is it all about money? Won't you consider how much the athletes spent from their own pockets while you're aiding them as small as a grain of rice."
"I refuse to think this is cultural, this is just straight up evil. To these officials, have some shame for once.","I refuse to think this is cultural, this is just straight up evil. To these officials, have some shame for once."
Gigil iiglip sana ako nabuwiset pa,"Ugh, I was just about to nap but I got even more pissed."
Ano na mga di ba kumain 'to walang energy,"What's going on, didn't they eat? They have no energy."
DI BA UNG IBA PINAPAKITA,Aren’t the others being shown too?
tamlay nyo naman di ba kayo kumain,"You guys are so lifeless, didn't you eat?"
"gago sa tahimik don sa studio pati pag lakad nung girl rinig nyawa, di ba kayo inaantok gan gagu","It’s so damn quiet in the studio, you can even hear the girl’s footsteps. Aren’t y'all sleepy? damn "
grey goose di ba chichirya yun ????,"Grey Goose, lol isn't that a snack??"
Di ba? Hahaha! EKIS TALAGA,right? Hahaha a cross-out for real
"Sabi na may kapalit pag sobrang saya Okay na okay na cla, di ba nila nakikita yun? Yun na ang iniiyakan ni anji eh, yung hindi nila maintindihan yung samahan ng KYJI, Hndi ma nya alam papano kikilos, saan lulugar. pls help huhu may date pa cla eh","I knew there was a trade-off for being too happy. They are already okay, can't they see that? That's what Anji is crying about, that they don't understand KYJI's relationship. She doesn't know how to act, where to belong. Please help, they even have a date."
"Kaya nga..huhu..sana this wednesday,okay pa rin ang pusong dilaw","That's right..huhu..I hope on Wednesday, the yellow heart is still okay."
Im so soft for this huhu,I'm so soft for this huhu
Di ba,Right?
"35 years na po, madam VP. Mag-inang Aquino pa po ang nakaupo sa Malacañang. Ito pa rin po ang kinakanta ninyo?","It's been 35 years, Madam VP. The Aquino mother and son were still in Malacañang. Are you still singing this?"
Baka alam mo kung saan itinago. Nakinabang din pamilya nyo sa pamilya ng magnanakaw di ba?,"Maybe you know where it was hidden. Your family also benefited from the thief's family, right?"
di ba nagkape tong mga announcer?,Didn't these announcers have coffee?
before i sleep i just want to confess na im scared to end up like my clients asking if they will ever experience romantic relationships. theyre in their mid and late 20s to early and mid 30s; successful in careers but would still crave that romantic human experience :(,before i sleep i just want to confess na im scared to end up like my clients asking if they will ever experience romantic relationships. theyre in their mid and late 20s to early and mid 30s; successful in careers but would still crave that romantic human experience :(
rold uu masama akong tao pero deserve ko naman to ‘di ba? If my clients deserved it then ako siyempre XD,Lord yes I'm a bad person but i deserve this right? If my clients deserved it then of course me too XD
di ba dapat ley miserab pronunciation don,Shouldn't the pronunciation be 'ley miserab'?
Tangina talaga bobo ng grammys amputa di ba kayo maalam magside step right left to my beat,"God damn it the grammys are stupid, don't they know how to side step right left to my beat?"
Kukulit naman kase di ba makaramdam na ayaw sa inyo mag open nung bata??,People are annoying because can't they sense that the kid doesn't want to open up to them??
I don't know about you but this is huge,I don't know about you but this is huge
Let’s see next year hahaha,Let’s see next year hahaha
Depende sa kanya kasi hindi niya sinubmit Fearless di ba haha,"It depends on her because she didn't submit Fearless, right? haha"
"Sino pang mga gising, interact mga teh",Who else is awake please interact y'all
Okay sino ba naman ako para pansinin 'di ba??,"Okay, who am I to be noticed, right??"
Biggest slap to that industry plant lol di ba kinaya buhatin?\,"Biggest slap to that industry plant lol couldn't carry it, right?"
'di ba pwedeng maging grateful na lang siya,Couldn't she just be grateful?
di ba pedeng best americana album BE agad hahahaha antok na ko,Is it not possible for BE to be the best americana album hahaha I'm sleepy
di ba?,Right?
Nag almusal naman siguro kayo di ba???,"You guys had breakfast, right?"
"""di ba crazy ka"" HAHAHAHAHAHAHAHHA","""You're crazy, you know that right?"" HAHAHAHAHAHA"
di ba nagsubmit b3n&b3n sa best folk album??,"Didn't Ben&Ben submit to the best folk album category? (may weird sa pag ""submit"" sa category ng award show, diba dapat qualified or nominated?)"
"Dear RA, i think u need to include best kpop album now.. More inclusions di ba? GRAMMYs","Dear Recording Academy, I think you need to include a best K-pop album now. More inclusions, right? GRAMMYS"
"Kung ayaw niyo, Best OPM album na lang Grammys","If you don't want to, then have a Best OPM album category in the Grammys. (parang dapat may context pa sya)"
2nd dose ko bukas at may class ako pero para 'to sa bts kaya why not 'di ba???? deserve ko ang pag mamahala n'yo lods,"I'll have my second dose tomorrow and I have class, but this is for BTS, so why not, right? I deserve your love lods."
Emz vote for bts!!!,Emz vote for BTS!!!
JOKE ETO NA TALAGA LAST NA TO,"JUST KIDDING, THIS IS REALLY THE LAST ONE."
alam mo nababaliw na ako rito same tayo sa xiaojun at mark pero magko-commit ako sa sungchan at chenle hHAHHAHAHAH,"You know, I'm going crazy because I feel the same way about Xiaojun and Mark, but I'll commit to Sungchan and Chenle HAHAHAHAHAH."
Pucha wait typo ako HAHAHHAHAHAHAAHA basta yung una ko si chenle yung nakaupo na isa tas as of now ayan na,"Oops, wait, typo. HAHAHHAHAHAHAAHA. Anyway, Chenle was my first, the one sitting down. And as of now, that's how it is."
PAANO NAGING CHICK!!/1?!1??! PERO UNANG KITA KO TALAGA XIAOJUN NGA GAGU MUKHANG MAPAPAKAIN AKO NG KULANGOT AH,"HOW DID HE BECOME A CHICK?!/1?!1??! BUT WHEN I FIRST SAW HIM, I REALLY THOUGHT IT WAS XIAOJUN. DAMN, IT LOOKS LIKE I'M GOING TO EAT BOOGERS."
Hoy alam mo ba kanina yung una ko kasama talaga si chenle chick is yung nakaupo na isa sa,"Hey, do you know that the first one I was with earlier was really Chenle? Cute is the one sitting down. (baket nagiging cute yung ""chick"")"
"kingina 'di ba masaya buhay ng mga 'to, tabi nyo na ako na jan","Damn, aren't their lives happy? Make space for me there."
'di ba 'to sunod sunod ponyeta??,"Isn't this supposed to be sequential, damn it?"
"grabe ka, cheat agad? 'di ba pwedeng kinabisado lang — HAHAHAHA so umulit","Seriously, you're immediately accusing someone of cheating? Couldn't they just have memorized it? — HAHAHAHA so re-take"
bat for a while. di ba pwedeng forever nalang.,Why just for a while? Can't it be forever?
"""Hah!"", Jerry thought to himself. ""I look foot""","""Hah!"" Jerry thought to himself. ""I look foot"""
bet ko to may gcng p ba,"I like this, is anyone still awake?"
oct libra cuties,October Libra cuties
syempre kaya nga lodibabes kita eh sept 27 libras lang naman red flag sa sign natin eh,"Of course, that's why I look up to you so much. Only September 27 Libras are a red flag in our sign, right?"
di ba dapat sept. 28 HAHAHA,"Shouldn't it be September 28, HAHAHA?"
kakampe ako!,I'm an ally!
Ang laki siguro problema ng mga to bakit walang sigla di ba kayo masaya sa mga nominated,These people must have big problems. Why are you guys not energetic? Aren't you happy with the nominees?
finally nag-college na siya sa bite me tapos gusto nyo na naman ibalik si siwat sa high school,"Finally, he's studying college in Bite Me, and now you want to bring Siwat back to high school?"
di ba nonexistent pa si praram sa lm universe? grade 10 or 11 palang siya lol,"Isn't Praram still nonexistent in the LM universe? He's only in grade 10 or 11, lol."
di ba pwedeng i-fast forward to?,Can't we just fast forward?
"hindi ko man sure kung tama ang mga sagot ko, pero atleast tapos na 'di ba? need na agad magmove on kasi may mga susunod pa. sino ba naman kasi ako para bigyan ng materials na magagamit for quiz, 'di ba??","I'm not even sure if my answers are correct, but at least it's done, right? I need to move on immediately because there's more to come. Who am I to be given materials to use for the quiz, right??"
sa best childs album di ba sali ang hey tayo at bilie poco dyan,Isn't Hey Tayo and Billie Poco included in the best children's album category?
‘di ba siya masaya sa trabaho niya mag-announce,Isn't she happy with her job of announcing?
GAG0H KA AHAHHAHAHAHAHAHAHAHHAHHAHA,YOU IDIOT! HAHAHHAHAHAHAHAHAHAHHAHHAHA
ibigay kay cardi b ‘yang trabaho niya HAHAHAHHAHA,Give Cardi B her job HAHAHAHHAHA
"Di ba pwedeng ilabas nalang yung list, bakit ba kasi live antok na ko beh","Can't they just release the list? Why does it have to be live? I'm sleepy already, beh."
di ba!! i like where this is going studj i beg,"Right!! I like where this is going, Studios J, I beg."
Sana lahat ganito kabilis mag announce di ba,"I hope everyone announces this quickly, right?"
"""Before nga po, nangangarap lang kami na sana 'di ba in the future, makapag-perform tayo sa stage na ito. Marami na kami napanood na concerts sa Araneta before,” Josh said.","""Before, we were just dreaming that, you know, in the future, we could perform on this stage. We've watched a lot of concerts at Araneta before,"" Josh said."
down parrehhh,"I'm in, padre. (padre na ata pinaka malapit sa pare)"
getz na kita orb...kaso are gonna make suko na ba? susuka pero never susuko!!!,I understand you bro... but are you going to give up? Puke but never give up!!!
what do you do ba when have makulog? we make putol it di ba?,"What do you do when you have earwax? We remove it, right? (diba makulog is thunderous?)"
May script na sila... Dilawan kuno yung nag upload to confuse them. Kasi daw deactivated na account. Marunong daw kasi silang manindigan sa post nila. E di ba bad deactivate din yung nag post na may pa drifit shirt pa.,"They already have a script... They're saying the one who uploaded it is a 'Dilawan' to confuse them. Because they say the account is already deactivated. Because they supposedly know how to stand by their posts. But the one who posted with the drifit shirt also deactivated their account, right?"
"Huhu. TBH, this put all the blame to KD with the friendship that is happening. Di ba mutual yun? So HMs are now suggesting na tablahin totally ni Anji si KD? Di ko talaga maintindihan why they are blaming KD","Huhu. TBH, this put all the blame to KD with the friendship that is happening. Isn't that mutual? So HMs are now suggesting that Anji totally ignore KD? I really don't understand why they are blaming KD."
hindi nya ba i2 nakikita,Can't they see this?
who....SINO HUH,Who....WHO?
DI BA NYA MAKIKITA YARN???,CAN'T THEY SEE IT???
GAGO OO NGA YAAN MO NA PUTANGINAG DMI DMAING TWTS EH,"YOU FOOL, YES, I KNOW, NEVER MIND, IT'S JUST A LOT OF TWEETS DAMN IT."
HAHAHAHAHAHHA HE MESSAGED ME 3 MINS AGO,HAHAHAHAHAHHA HE MESSAGED ME 3 MINS AGO
"o di ba?tatlong units nakaopen youtube ko recording acad pero dahil sa trauma dala ng ginawa nyo last year di ko kayang manood...huhu... God is good, BTS will be nominated in various categories and will definitely win all of them this time!","Oh, isn't it? I have three units open on YouTube, recording for academics, but because of the trauma you caused last year, I can't bear to watch...huhu... God is good, BTS will be nominated in various categories and will definitely win all of them this time!"
"tuloy tuloy, di ba siya natutuyuan ng lalamunan","Non-stop, doesn't his throat get dry?"
Pink nails ni Neggy,Neggy's pink nails
Pusa mo yan dai?,"Is that your cat, friend?"
"Oo dai, bakit?","Yes, friend, why?"
Lakas mo maka krist dyan. Haha,"You're really into Krist there, haha."
"Haha bakit si Krist dai, di ba pwedeng si Bright o Sunny na lang?","Haha, why Krist, friend? Can't it be Bright or Sunny?"
Mahilig din ba sa pusa si Bright? Sino si Sunny? Ang kilala ko lang si mang sony sa kanto namin,Does Bright also like cats? Who is Sunny? The only Sony I know is from our street.
"Haha oo dai, ragdoll pusa nya. Si Sunny yun yung unang bet ko na Thai actor..ang reason bakit ako pumuntang Thailand at nameet ko yung friend nya. Sya yung sa I'm fine thank u love u at sa My ambulance, si Bright yung batang Sunny don","Haha yes friend, his cat is a ragdoll. Sunny was my first Thai actor that I like...the reason why I went to Thailand and met his friend. He's in I'm fine thank you I love you and in My ambulance, Bright is the young Sunny there."
Bakit sa tuwing may sasabihin ako na nasa isip ko naka defense mode ka palagi. Di ba pwedeng sinasabi ko lang nasa isip ko kasi sasabog na ako kung wala akong mapag sasabihan??,"Why is it that every time I say something that's on my mind, you're always in defense mode? Can't I just say what's on my mind because I'm going to explode if I can't tell someone?"
"yung nanay ng mga ito di ko makita since last night, ano ba pwede ipakain? puro mga matandang stray cats pinapakain ko. Naaawa na ako Eto na naman tayo sa baklang magaalaga ng mga iniwang anak ng mga straight.. charot. Send help","I haven't seen the mother of these kittens since last night, what can I feed them? I'm feeding mostly old stray cats. I'm starting to feel sorry for them. Here we go again with the gay person taking care of the abandoned children of straights... just kidding. Send help."
buy syringe yung pinaka maliit lang then milk.,"Buy a syringe, the smallest one. Then but milk."
"okay so pwede kahit fresh milk lang di ba, kase baby pa naman? i have a syringe naman para sa vitamins ni Lily eh... thanks!","Okay, so even just fresh milk is okay, right, since they're still babies? I have a syringe for Lily's vitamins anyway... thanks!"
Yep ok naman but if c-careerin mo you can buy milk na for kittens sa petshops. You're welcome. Also rub them sa may pwet na area nila to stimulate mothers tongue licking them. Use towel nalang kasi mahihirapan sila mag poop if walang ganong licking sensation.,"Yep, that's okay, but if you're serious about caring for them, you can buy milk for kittens at pet shops. You're welcome. Also, rub them on their butt area to stimulate their mother's tongue licking them. Just use a towel because they'll have a hard time pooping if there's licking sensation."
Kelan na ba kasi ang announcement? Ready naman na tayong masurprise di ba?,"When is the announcement anyway? We're ready to be surprised, right?"
"putangina pwede pala yung ganito, kanina pa ko palipat-lipat sa youtube tapos twitter","Damn it, I wasn't aware you can actually do this. I've been switching between YouTube and Twitter since earlier."
di ba? nagulat ako biglang lumiit eh potek pwede pala,"Right? I was surprised it suddenly became smaller. Damn it, I didn't know that was possible."
"Bakit naman ba kase laging nangingielam si TJ sa mga loveteam. Di ba nya pwedeng hayaan, dahil wala naman silang ginagawang masama.","Why does TJ always interfere with love teams? Can't he just let them be, they're not doing anything wrong?"
Lasing na ba ang lahat? Sana sabay-sabay tayo di ba?? ,Is everyone drunk? I hope we are drunk simultaneously?
May nauuna at may nahuhuli HAHAHAHHA parang nagrarace e,"Some are ahead and some are behind, HAHAHAH like they're racing."
BTS HELLO DI BA KAYO MAG LA LIVE JAN?,BTS HELLO AREN'T YOU GOING TO DO A LIVE STREAM?
Huy di ba talaga uso bg music sa kanila parang last year meron naman,"Hey, don't they usually have background music? They had some last year."
di ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan,"Can't I just tell the professor that there was an earthquake on the lot, so I couldn't finish the floor plan?"
"grabe, sobrang bigat ng ka-partner ko. ako lahat nag-solve sa math tapos ako rin nagpasa.","Seriously, my partner is so useless. I solved all the math problems already and I also submitted everything."
"charot lang, kasi bubuhatin niya naman ako sa case. hehehe 'di ba? salamat sa buhat noong nakaraan, naka-98 tayo.","Just kidding! Because they'll carry me on the case anyway, right? Thanks for helping me out last time; we got a 98."
Good evening! Maganda sales namin these days and di po makahanap ng ligaw na victim so dito na lng po :) Comment below kung bakit deserve mo ng D-1 ticket (can choose 27 or 28). Ends 8:30am tomorrow ,"Good evening! Our sales have been great these days, and I can't find any stray victims [to give tickets to], so I'll just do it here :). Comment below why you deserve a D-1 ticket (can choose 27 or 28). Ends 8:30am tomorrow "
"Deserve po ng isang straight na fanboy makanood ng concert kase inaamin ko po, I was once a hater(not a basher cause I never bash them). Matagal napo akong silent fan I just don't Admit it pero wala, talagang nahumaling ako sa Sb19 and gumawa pa talaga ako ng twitter for them","A straight fanboy deserves to watch the concert because I admit, I was once a hater (but not a basher; I never bashed them). I've been a silent fan for a long time; I just didn't admit it, but I've really become obsessed with SB19 and even made a Twitter account for them."
"2 concerts na po ang namiss ko, sana di ko na mamiss this time yung concert nila. I'm joining so many GA but none of them I won HAHAHA. Deserving naman po ako di'ba? Wala po talaga pa akong money para sa ticket e kase I'm just a student. Bawi nalang ako sa F to F Concert if ever","I've already missed two concerts, and I hope I don't miss their concert this time. I'm joining so many giveaways, but I haven't won any, HAHAHA. I deserve it, right? I really don't have money for a ticket because I'm just a student. I'll make it up to them at a face-to-face concert if ever."
TANGINA TANGINA TANGINA TANGINA TANGINA KAGRUPO KO POTANGINA CARAT GAGO SI MINGYU PALA POTANGINA KAYA PALA FAMILIAR?? HELLO PO MAGING CLOSE PO TAYO PLEEK BUBUDOLIN KITA HUHUHUHUHUHUHU,"MOTHERF***ER MOTHERF***ER MOTHERF***ER MOTHERF***ER MOTHERF***ER MY GROUPMATE IS A MOTHERF***ING CARAT. IT'S MINGYU, DAMMIT! THAT'S WHY HE LOOKED FAMILIAR?? HELLO, LET'S GET CLOSE PLEASE! I'LL SPOIL YOU HUHUHUHUHUHU"
PANO BA MAG APPROACH SA IRL CARAT POTANGINA DI BA OBV NA SI HOSHI PFP KO GRRRRRR,"HOW DO YOU APPROACH AN IRL CARAT? DAMN IT, ISN'T IT OBVIOUS THAT MY PROFILE PICTURE IS HOSHI? GRRRRRR"
"tamad kayo, 'di ba?","You guys are lazy, aren't you?"
