src,tgt
saya panlasang pinoy talaga weeeeeeiii pabusog ka jannn,"It's really tasty Filipino food, weeeeeeiii, gorge yourself, Jann!"
paano kung totoo to,What if this is true?
what if ako talaga si winwin,What if I'm really Winwin?
"mananatili talaga, lalo na si ate blaze","They will really stay, especially Ate Blaze."
wla na talaga.,It's really gone.
"u guys think that we see less of leni kaya hayun pinintura na talaga, despite of d fact that she is all over d mainstream media. sawa na nga kami, memorize na namin mukha nya. same pa rin naman ang brain,gusto nyo talaga siya ma overexposed so be it lol","You guys think that we see less of Leni so that's why she's being painted everywhere, despite the fact that she is all over the mainstream media. We're sick of it, we've memorized her face. But her brain is still the same. You really want her to be overexposed so be it lol."
"gusto ko talaga magpa commission kay mx emma kaso di ko pa keri magcomply sa 0.6 per word, pag pang finals nalang siguro","I really want to commission MX Emma but I can't afford to comply with 0.6 per word yet, maybe I'll do it during finals."
gusto ko talaga ng kausap ngayon kahit sino payan kahit ex ko payan,"I really want someone to talk to right now, even if it's anyone, even my ex."
hoy hahwhhwhwjwhw wala akong ex ha,"Hey hahwhhwhwjwhw I don't have an ex, okay?"
ang panget kasi pakinggan kapag may ex,It sounds bad when you have an ex.
"parang ewan kayoooo, magulo kayo bente times huhy","You guys are crazy, you're confusing twenty times, huhy."
ok real na talaga !!! goodnight !!!,"Okay, this is really happening!!! Goodnight!!!"
bat yung ilong ko sa picture namin ni mozzy parang yung nose emoji hahqhqhahahahahha,Why does my nose in the picture with Mozzy look like the nose emoji hahqhqhahahahahha.
parang tanga hahahahaha,So stupid hahahahaha.
"andami kong mali now sa work, sobrang nakaka sad parang ang lala sinasabe ko nalang sa sarili ko na di naman ako nakaranas ng ganito, may ibang tao din na mas malala pa at alam ko na ginagawa ko naman best ko para mag improve, pero nalulungkot at nadodown padin ako.","I'm making so many mistakes at work now, it's so sad, it's like it's so bad; I just keep telling myself that I haven't experienced this before, that there are other people who are going through worse, and I know I'm doing my best to improve, but I'm still sad and down."
im honestly dont know whats happening to me lately.,I honestly don't know what's happening to me lately.
kung san pako magaling. andming question now sa utak ko... san bako talaga san bako magaling nakatapos naman ako bat parang biglang nawala path ko or maybe i was to expose sa social media? people in soc meds are too far from my situation right now.,"What am I even good at? There are so many questions in my head now... What am I really good at? I graduated but it's like I suddenly lost my path, or maybe I was too exposed to social media? People in social media are too far from my situation right now."
"bakit parang kabilis ng november????? bago lng man ako nag 18 ba, baket mag 19 na naman ako?? shuta hahahahahahha","Why does November seem so fast????? I just turned 18, why am I turning 19 again?? Damn it hahahahahahha."
parang ayoko na lang tanggapin mga bigay mo,I think I just don't want to accept your gifts anymore.
nag release ng teaser para sa best selling adult fiction novel and a future blockbuster hit sa big screen.,They released a teaser for the best selling adult fiction novel and a future blockbuster hit on the big screen.
"that chanyeol, itry natin sa bmw mo!!!","That Chanyeol, let's try it in your BMW!!!"
yung usapan ang pupunta lang sa the good world.,The plan is to just go to The Good World.
"ohhhhh the title. ano wake me up, shiro kasi ano sonne was begging shiro to wake him up from this dream na ano naaksidente si shiro? hindi ko pa tapos basahin pero pinatay ko agad si xav1.gusto ko lang ishare yung theory ko kasi the title makes sense talaga.","Ohhhhh the title. What, 'Wake me up,' shiro because, what, Sonne was begging Shiro to wake him up from this dream that, what, Shiro got into an accident? I haven't finished reading it yet but I killed Xav1 immediately. I just want to share my theory because the title really makes sense."
hayss akala ko si ano si sonne yung mat3t3gi kasi yung title its a bit confusingggg.,"Hayss I thought it was Sonne that, because the title is a bit confusingggg."
ghorl ang bagal talaga daig pa pagong x snail combined,"Girl, it's really slow, even slower than a turtle and snail combined."
hala uy bat parang same kami lagi ng ginagawa,"Oh no, why do we always seem to be doing the same thing?"
"same..yung akala mo things are getting better. then may ganito pala.ang shakit lang...sakit. i love kyji both parang pagwala isa,di complete.","Same... when you think things are getting better, then this happens. It just hurts so much... pain. I love Kyji so much, it feels like when one is gone, it's not complete."
lipat kaya ako stream sa rai hehe,Maybe I'll stream on RAI instead hehe.
"free!!! hd rin, need lang ita vpn mars! mas benta ung commentator kaso italiano wahahhahahaha","It's free!!! Also in HD, you just need to use a VPN, Mars! The commentator is more appealing but he's Italian wahahhahahaha."
te kahit ung italian comm ng vbw pede na!!! ishikawa ng ishikawa hahahahaha,"Girl, even the Italian commentary of VBW is okay!!! Ishikawa, Ishikawa hahahahaha."
ayaw mo ba ung sa time and space??? hahahhahahahah,Don't you like the one in Time and Space??? Hahahhahahahah.
basta kase two frenchmen nalang hahahahahhah,Just keep the two Frenchmen hahahahahhah.
"oo parang ako lang yan sa kpop idols eh, inspiring siya huh. hahahhahahah","Yes, it's like me with K-pop idols, he's inspiring, huh. Hahahhahahah."
"3hrs na nga lang tulog ko,nakuha kopang managinip ng may jowa ung kaibigan kopa talaga ah haha.","I only slept for 3 hours, and I even dreamed that my friend had a boyfriend, of all things haha."
feel ko dapat di talaga ako nanonood ngayon.,I feel like I shouldn't be watching this right now.
"para sa mga nag sasabing selfish ako, kung totoo man yun sana wala nako now. bata palang ako naisip kona lumayas at mag pakamatay dahil sa sama ng loob ko sa mga taong nakapaligid sakin, pero iniisip ko sila kaya diko wnawakasan buhay ko.","To those saying I'm selfish, if that were true, I wouldn't be here now. Since I was young, I already thought about running away and committing suicide because of the pain I felt from the people around me, but I considered them, so I didn't end my life."
something sensible from the senate.,Something sensible from the senate.
hindi! kagaguhaaaan yan... nung 2016 nga kinawawa ng kunwaring tandem si mds ng isang humahab0l kay dig0ng kas0 ayaw man talaga sa kanya na kesy0 nag campaign funds kay dig0ng kahit na si mds ang katandem nya ugaling,"No! That's utter nonsense... Back in 2016, the fake tandem bullied MDS while someone was desperately trying to get Digong's attention, but he didn't really want her, supposedly because she gave campaign funds to Digong even though MDS was his running mate. What a character!"
mehn kinikilig ako isang potchi para sa mga taong sawi,I'm getting butterflies. Here's a piece of chocolate for those who are heartbroken.
eto na jake magaaral na ako ng mabuti talaga kasi nakakahiya naman sayo nasa harap ka pa ng laptop ko,"Okay, Jake, I'm really going to study hard now because I'm embarrassed in front of you while you're still in front of my laptop."
"pag ako di nagising para sa klase ko mamaya, blaming u meralco wala pa kong tulog bwiset","If I don't wake up for my class later, I'm blaming you, Meralco! I haven't slept yet, damn it."
parang ready naman na ako magka jowa. chariz!,I think I'm ready to have a boyfriend. Just kidding!
kung hindi ko narinig cover ng limang lalaki ng sorry sorry.. naega meonjeo.. nuni busyeo.. sumi makhyeo.. naega michyeo baby na yan.. di ko sana narinig ang baybeeehh nege banhaebeorin naege wae irae!! na yan edi sana hindi ako gumagastos para sa mga lalaking yun ngayon!,"If I hadn't heard the cover of ""Sorry Sorry"" by five guys... ""Naega meonjeo.. nuni busyeo.. sumi makhyeo.. naega michyeo baby,"" I wouldn't have heard ""baybeeehh nege banhaebeorin naege wae irae!!"" And I wouldn't be spending money on those guys now!"
try ko nga makapag ipon starting today hanggang 27 ng december para sa bday ko oh sa mababait jan beke nemen gcash 09569414312 thank you labyu,"I'll try to save money starting today until December 27 for my birthday. To those who are kind, maybe some GCash? 09569414312. Thank you, love you!"
gumising ng maaga para sa pancit canton,Waking up early for pancit canton.
syempre combo ng iced coffee ko tas yung masarap na kausap ko,"Of course, it's a combo of my iced coffee and someone nice to talk to."
tangi nang yan parang naka aircon ngayon samin ah sa sobrang lameg,"Damn, it feels like we have air conditioning here because it's so cold."
ayarn yung mga mata ni szwarc gagi parang hinihila ako,"Damn, Szwarc's eyes are like they're pulling me in."
bakit parang werewolf character tong si szwarc adjkdfk,Why does Szwarc look like a werewolf character? Just kidding!
ang daming nag chichismis about kay szwarc ? sino ba to,So many people are gossiping about Szwarc? Who is he?
werewolf ko yaaan hahahahah,"He's my werewolf, hahahahah."
ginawa mong halimaw,You turned him into a monster.
hindi kasi yung dating nya sakin yung parang hot werewolf na nasa human form nila hahahah shuta arthur pwede bang pasali sa pack,"It's just that his vibe is like a hot werewolf in their human form, hahahah. Damn, Arthur, can I join the pack?"
"if ang tae ay bumulwak, bakit ka matutulog?","If the poop is overflowing, why would you sleep?"
wag na matulog mamatay din lang jk,"Don't sleep anymore, you're just going to die anyway. Just kidding!"
wag ka na din matulog,Don't sleep either.
ganto talaga pag walang kabebe time,This is what it's like when you don't have 'kabebe' time (cuddle time).
same hahahah self love nalang waw,"Same, hahahah. I guess it's just self-love for now."
"tulog na kasi ata ung kabebe time ko, just kidding kala mo talaga meron","My 'kabebe' time is probably asleep. Just kidding, as if I even had one."
reveal naman po kung meron hahaha,"Reveal if you have one, hahaha."
ang daming triggered sa post ni aicelle. wala naman syang binanggit na pangalan pero galit na galit yung mga troll nung magnanakaw.,"So many people are triggered by Aicelle's post. She didn't even mention a name, but the trolls of the thief are so angry."
parang inamin na magnanakaw sila? kasi nga nag react agad sila!!!!,Are they admitting that they're thieves? Because they reacted immediately!
what the actual fck? jütin bi3b3r having that 8 nominations? for what??? taenang yan oi ano yon? scammys talaga buset. his latest releases are mostly trash ano yun? wtf talaga,"What the actual f*ck? Justin Bieber having those 8 nominations? For what??? Damn it, what is that? The Grammys are a scam, seriously. His latest releases are mostly trash, what the heck?"
"bestfriend my favorite, sana all may bestfriend na tulad nyo. ano man ang kahantungan, ang importante sa akin yung andyan kayo para sa isatisa, yung mananatili kayo na masaya hindi man magkasama.","Best friend, my favorite. I hope everyone has a best friend like you. Whatever happens, what's important to me is that you're there for each other, that you will stay happy even if you're not together."
okay lang parang kagat lang ng dinosaur,"It's okay, it's just like a dinosaur bite."
when i broke the news to you parang di ka naman masaya.,"When I broke the news to you, you didn't seem happy."
parang trip ko sa sea side mamaya huh walang tulugan,I think I feel like going to the seaside later and staying up all night.
parang tanga k haneul,"You're such an idiot, Haneul."
putangina mo talaga grammy madaling araw na dito gumising ako kahit napaka aga ng pasok ko tas nakakagigil ka,"Damn you, Grammy. It's early morning here, I woke up even though I have to go to work very early, and you're making me angry."
"ma, how can you do this to me?!","Mom, how can you do this to me?!"
hahahhahahahaha ampota talaga,"Hahahhahahahaha, damn it, really."
"dami nilang time ah whaha at the end of the day its their effort thats wasted sino ba sila para pakinggan mo, pinapaaral k b nyn xd anyways i hope u know that those passerby would stay miserable w hatred raging inside their body, while you thrive off of ur passion nd b happy","They have so much time, huh? Whatever, at the end of the day, it's their effort that's wasted. Who are they to tell you what do, are they paying for your tuition anyway? Anyway, I hope you know that those passersby would stay miserable with hatred raging inside their body, while you thrive off of your passion and be happy."
parang wala maxiado queenta sinabi ko pero ayon..,"I don't think I said too much, but yeah..."
parang lumandi lang ako sa cisterna this set gago,"I think I was just flirting at Cisterna this set, damn."
piano parang gusto pa ata pumalag for paris 2024 hahahaha,"It seems like Piano still wants to compete for Paris 2024, hahahaha."
parang mag 5sets pa ata to jusko,"I think this is going to go to 5 sets, good lord."
"hindi masakit promise, parang kinagat ka lang ng aso","It doesn't hurt, I promise. It's just like a dog bit you."
i cant sleep need ko pa magising ng 6 para sa performance ng enha tas may pasok pa ako ng 9,I can't sleep. I still need to wake up at 6 for ENHYPEN's performance and then I have class at 9.
cute nung mic parang kakanta yung mga coach ahahshahahah,"The mics are cute, it looks like the coaches are going to sing, ahahshahahah."
at kung hindi ko pinakilala limang lalaking yun sa nanay ko. hindi sana narinig ng nanay ko yang big boi throwing three stacks na yan edi sana hindi ako gumagastos para sa ibat ibang lalaki ngayon maliban sa limang lalaki ko! its now 5 9 23..,"And if I hadn't introduced those five guys to my mother, she wouldn't have heard that 'Big Boi - Throwing Three Stacks' song. Then I wouldn't be spending money on different guys now, aside from my five guys! It's now 5/9/23..."
hahahahahahhaa 3 jaehyun basang sisiw sparks parang fireworks,"Hahahahahahhaa, three Jaehyuns sparkling like fireworks."
worth it imanifest ng almost 2 mos. haha,"Worth it to manifest for almost 2 months, haha."
ah talaga ba? sino ka muna nyehe,"Oh, really? Who are you first? Nyehe."
oi kyle karon ra ko ka dungog mag bisaya na tuloy tuloy. grabe! sarap mo pakinggan parang mas matanda ka pa kay anji. nice kylito.,"Oh Kyle, this is the first time I've heard you speak Bisaya fluently. Wow! It's so pleasant to listen to you, you sound even older than Anji. Nice, Kylito."
kakalungkot lang kasi tngina bat parang may nag iba?,"It's just sad because, damn it, why does it feel like something changed?"
"sa buong buhay ko, parang wala man lang akong nagawang tama",It feels like I haven't done anything right in my entire life.
potangenang twitter to kada open ko may message isa tas wala naman parang tanga ampota.,"This damn Twitter app, every time I open it, there's a message, but it's always nothing. It's so stupid, damn it."
imagine having to work your fucking ass off to provide for your family to the point of not even having time to rest tapos sasabihan ka lang na walang time para sa pamilya. ha ha ha.,"Imagine having to work your fucking ass off to provide for your family to the point of not even having time to rest, and then they just tell you that you don't have time for the family. Ha ha ha."
tambak sa unang part ng 2nd set cisterna pero nanalo pa rin lol,"We were piled up in the first part of the 2nd set in Cisterna, but we still won, lol."
parang milano lang nung 1st set lol,"It's like Milano during the 1st set, lol."
nag tanong lang naman ako kung si harley bayun sabay sabi ni kuya harley parang kailan lang kinukuya mo pako ah sorry my false atleast di nakalimot bleehh,"I just asked if that was Harley, then Kuya (older brother) Harley says, 'You were calling me Kuya just recently.' Oh, sorry, my bad, at least I didn't forget. Bleehh."
parang ayoko na uli magbasa ng kahit anong au haha gusto ko nang saksakin sunod sunod na heartbreak to ah,"I feel like I don't want to read any more AUs (alternate universes) anymore, haha. This is going to be successive heartbreak for me."
haha sino ba kasi may sabi sayo na sunodsunurin mo ha,"Haha, who told you to read them one after the other?"
parang ang sarap mag patangay sa alon,It feels so good to let the waves carry you away.
ok na yun haha cute nung pfp q parang chat heads na tuloy haha,"That's okay, haha. My profile picture looks cute, like chat heads, haha."
"malapit na fiesta samin, di ako papayag na ibang softdrinks ang iserve, pepsi lang dapat four days to our zone","The fiesta is near in our place; I won't allow any other soft drinks to be served. It should only be Pepsi, four days to our zone!"
para sa ekonomiya ng esbi at pepsi!!!,For the economy of ESBI (Enderun Student Business Ideas) and Pepsi!!!
ano na! parang wala pasok bukas ah hahaha morniinng,"What's the update? It feels like there won't be classes tomorrow, haha. Good morning!"
huh december na next week ??????,"Huh, is it December next week??????"
parang dati lang hindi tayo nagaaral ah,It feels like it was only yesterday when we weren't studying.
"di naman sa dinedemonyo ko mga kaibigan ko ano, pero parang ganon na nga 33","It's not that I'm demonizing my friends, but it's like that, 33."
"start ko kaya 2022 ko para sa pamilya, goal at careee life ko. iwas na sa toxic kapagod e hays","Maybe I'll start my 2022 for my family, goals, and career life. I'll avoid the toxic and tiring things, ugh."
"yoko talaga ng ganitong pakiramdam, naaral ko na to dati ih, maaral nga ulit","I really don't like this feeling; I already learned this before, but I need to learn it again."
parang may nadislocate na eme sa braso ko. mali yung pagbangon q,It feels like something dislocated in my arm. I got up wrong.
parang fb na pfp q haha,"My profile picture looks like a Facebook profile picture, haha."
"kapag talaga una mong inistan nawalan na ng member, sanay kana eh jsjskskaksha tatlo ba naman agad sa exo hehehehehe","When the first group you stanned loses a member, you're already used to it, haha. Three members gone from EXO right away, hehehehehe."
"ok lang,, parang kagat lang naman ng dinasour hehe ano ba kayo, ok lang ako.","It's okay, it just feels like a dinosaur bite. What's wrong with you all? I'm okay."
magulang ko nga hindi nagrereklamo sa merch ko na araw araw kong kinakalkal sa harap nila at natutuwa pa pero ikaw ang lakas mo naman sabihin na nagyayabang ako,"Even my parents don't complain about my merch that I rummage through in front of them every day, and they're even happy, but who are you to say that I'm showing off?"
"hindi ba pwedeng masaya lang talaga ako, haha shuta nakakaconscious na tuloy mag myday","Can't I just be happy, haha? Damn, I feel conscious about posting on my day."
"ayoko na talaga, pati pagmamyday ko merch pinapansin niyo",I really don't want this. You even notice my merch in my story.
parang gusto kong i try mag axie budget nalang kolang,"I feel like I want to try playing Axie, but I just lack the budget."
"eyebags so deep, might as well cosppay itachi hahahah choz","My eyebags are so deep; I might as well cosplay Itachi, hahahah, just kidding."
pero legit!!! anlalim na ‍,But seriously!!! They're really deep 👁️👁️
basta parang kay itachi na,They just seem like Itachi's now.
pag ako nainis bibili talaga ako ng bagong sim para sa free shipping na yan,"If I get annoyed, I'll really buy a new SIM card just for that free shipping."
"mamaaaa, parang ngayon palang hihimatayin na koooo","Mom, I feel like I'm going to faint right now!"
"hindi ako takot sa dextrose pero takot ako sa injection?? syempre yung dextrose di ko naman nararamdaman nilalagay sa kamay ko e, tulog naman kasi ako pag nilalagay yun e","I'm not scared of dextrose, but I'm scared of injections?? Of course, I don't feel the dextrose being inserted into my hand because I'm asleep when they put it in."
ang cute ng bata parang siya 3,"The child is so cute, they look like him/her 3"
halatang pineke. try again.,It's obviously fake. Try again.
"deleted my tweet, read the comments na lang oof ang lala","I deleted my tweet, just read the comments. Oof, it's so intense."
i mean some people are claiming na drug test results can look as plain as that pero parang ang off pa rin ng formatting eh. i remember years ago when i got a drug test for employment and lol the format looked better than this sjagshhahsh,"I mean, some people are claiming that drug test results can look as plain as that, but the formatting still feels off. I remember years ago when I got a drug test for employment, and lol, the format looked better than this sjagshhahsh"
"some drug tests look like that, actually haha, whats important is that theres the name of the technician and evaluator to verify...the thing is tho it seems to be from st lukes? and a private hospital of that caliber usually has fancy formatting to my knowledge? idk ‍","Some drug tests look like that, actually, haha. What's important is that there's the name of the technician and evaluator to verify... the thing is, though, it seems to be from St. Luke's? And a private hospital of that caliber usually has fancy formatting to my knowledge, idk ‍♂️"
buti nalang di ko inabangan yung announcement nakakainis yung grammys parang iisang artist lang ninonominate sa lahat,Good thing I didn't anticipate the announcement; the Grammys are annoying because they seem to nominate only one artist for everything.
parang hindi mo gawain dati to ha ano ka hahahahah 5 or 6 kana nga natutulog e wow ha bago payan sayo,"You didn't used to do this. What are you, hahahaha? You're already sleeping at 5 or 6, wow, is that new to you?"
unfair? or baka sadyang di lang para satin,Unfair? Or maybe it's just not for us.
"di ko rin alam, parang gusto na kita pakasalan",I don't know either; it feels like I want to marry you already.
ayan ha parang walang pasok mamaya kung magpuyat,"There you go, it feels like there's no class later, so stay up late."
bat kase moots ko panay pinoy?? dkaks around this time nga tulog na sila eh dito maaga pa kainis hahahahahhahaha,"Why are my mutuals all Filipinos?? Dkaks (I don't know), around this time, they're already asleep, but it's still early here, ugh, hahahahahhahaha."
nasa qatar ako sis hahahahahahah,"I'm in Qatar, sis, hahahahahahah."
yupp!! tipong mga 7pm nag sasabihan na ng goodnight yung nasa gdm ko what about me?,"Yup!! Like, around 7 PM, they're already saying goodnight in my GDM (Group Direct Messages), what about me?"
"hello po goodnight na mee!! hahahahahaha here, bebe mo para sa tulog mo latur","Hello, goodnight to me!! Hahahahahaha here's your baby (pet name) to help you sleep latur (later)."
parang ang sarap mandilig hahaha,"It feels so good to water plants, haha."
parang ang sarap gumala,It feels so good to go out.
"malalaman talaga kung ang parents ay retokada, pag nanganak, hindi talaga mapagkaila. cguro naman may kilala kayo na mga ganitong nangyayariiba talaga pag organic ang beauty ng parents gaya ng bibis natin aldubmaichard forever","You'll really know if the parents have had cosmetic surgery when they give birth; it's undeniable. I'm sure you know of cases like that... it's really different when the parents' beauty is organic, like our babies AldubMaichard forever."
highlighted pa nga sa 1st ever christmas song na hindi ko mafeel ang christmas spirit at parang pangmahal na araw ang tono...,"It's even highlighted, the first ever Christmas song that I don't feel the Christmas spirit to, and the tune feels like a Lenten song..."
parang.. violinstion na yon??? hahahahahah,It seems like that's a violation... hahaha.
"hmm parang sa abs lang nman yung toxic lt culture. sa gma kasi, malaya yung artists nila to work with other actors. di sila itinatali sa iisang lt lang. khit nga mgjowa, di necessary to work with each other.","Hmm, it seems like that toxic love team culture is only at ABS-CBN. At GMA, their artists are free to work with other actors. They aren't tied to just one love team. Even if they're in a relationship, it's not necessary for them to work with each other."
1st set pa lang parang di ko na kaya,It's just the first set and I already feel like I can't take it anymore.
"we are responsible for our own feelings pero bakit parang responsibilidad ni anji yung kay kd? again, not hating kd. i hate the hms.","We are responsible for our own feelings, but why does it seem like Anji is responsible for KD's? Again, I'm not hating on KD. I hate the housemates."
parang nagiging bente nalang wankey ngayon ah,It seems like Wankey is only worth twenty pesos now.
"di naman masakit, parang kagat lang ng dinosaur.","It doesn't hurt that much, it's just like a dinosaur bite."
parang broken ako guys.,"I feel like I'm broken, guys."
ano yung kinain nung mga highest sa surgery? nilamon ba nila yung schwartz at sabiston????? penge naman ng onting talino. naghihingalo na grade ko,What did the top students in surgery eat? Did they swallow Schwartz and Sabiston? Please give me some of your intelligence. My grade is dying.
