# of Actual Tweets,Twitter Links,id,split,Tweet Status,Original Taglish Tweet,Preprocessed Taglish Tweet,English Translation,Comments
6.0,https://twitter.com/i/web/status/1463239799536377865,1.4632397995363779e+18,"(0.3333333333333333, 0.5555555555555556, 0.1111111111111111)",1,"the trauma u gave me tapos ganyan ka ngayon. ang tanda 
mo na di ba uso character development",the trauma ikaw gave me tapos ganyan ka ngayon. ang tanda mo na di'ba uso character development.,"The trauma you gave me then you're acting like that now. You're old enough, don't you have character development?",
,https://twitter.com/i/web/status/1463239450398539780,1.4632394503985395e+18,"(0.32142857142857145, 0.10714285714285714, 0.5714285714285714)",0,,,,
,https://twitter.com/i/web/status/1463237927874539520,1.4632379278745395e+18,"(0.2903225806451613, 0.16129032258064516, 0.5483870967741935)",0,,,,
7.0,https://twitter.com/i/web/status/1463237844475035654,1.4632378444750356e+18,"(0.1, 0.525, 0.35)",1,"Alam ko nga matagal na syang kinukuha nyan, siguro ngayon nga lang 
sya pumayag dahil confident at di na mahigpit yng mgt nya. Syempre may image din naman dati na LL. Atsaka di ba problem nya din dati built nya.
","alam ko ang matagal na syang kinukuha nyan, siguro ngayon ang lang siya pumayag dahil confident at di na mahigpit yng mgt nya. syempre may image din naman dati na ll. atsaka di'ba problem nya din dati built nya.","I've actually known that they've been trying to recruit them for a long time. Maybe they only agreed now because they feel more confident and her management is not uptight. They did have that 'LL' image back then. And wasn’t their build something she struggled with before, too?
",
,https://twitter.com/i/web/status/1463235762783080452,1.4632357627830804e+18,"(0.0, 0.7419354838709677, 0.22580645161290322)",0,,,,
8.0,https://twitter.com/i/web/status/1463235710136238081,1.463235710136238e+18,"(0.0, 0.3333333333333333, 0.6666666666666666)",1,Hahaha... @_Nahleng_ ohhh Di ba.. Beke nemen..😂,hahaha. ohhh di'ba.. beke nemen.,Hahaha… oh see… now what if. ,
,https://twitter.com/i/web/status/1463235519773437954,1.463235519773438e+18,"(0.0, 0.875, 0.125)",0,,,,
,https://twitter.com/i/web/status/1463235202952667142,1.4632352029526671e+18,"(0.04, 0.52, 0.44)",0- works but it's Bisaya,,,,
,https://twitter.com/i/web/status/1463234578928205829,1.4632345789282058e+18,"(0.2222222222222222, 0.5555555555555556, 0.2222222222222222)",0,,,,
,https://twitter.com/i/web/status/1463233638020132872,1.4632336380201329e+18,"(0.2, 0.2, 0.6)",0,,,,
9.0,https://twitter.com/i/web/status/1463233579895328772,1.4632335798953288e+18,"(0.11764705882352941, 0.7058823529411765, 0.11764705882352941)",1,di ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan,di'ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan.,Can't we just tell sir that an earthquake happened on the lot so I couldn't make the floor plan?,
,https://twitter.com/i/web/status/1463233457841225735,1.4632334578412257e+18,"(0.1, 0.3, 0.6)",0,,,,
10.0,https://twitter.com/i/web/status/1463233262482964482,1.4632332624829645e+18,"(0.0, 0.6666666666666666, 0.3333333333333333)",1,Di ba pwede makita sa cctv?,di'ba pwede makita sa cctv.,Can't we see it on the CCTV?,
,https://twitter.com/i/web/status/1463232573249757190,1.4632325732497572e+18,"(0.08333333333333333, 0.4166666666666667, 0.5)",0,,,,
,https://twitter.com/i/web/status/1463232184379228169,1.463232184379228e+18,"(0.18421052631578946, 0.18421052631578946, 0.631578947368421)",0,,,,
11.0,https://twitter.com/i/web/status/1463230452739702784,1.4632304527397028e+18,"(0.14285714285714285, 0.6666666666666666, 0.14285714285714285)",1,"O 'di ba kung kailan 'di na tayo nagkikita sa school saka mo'ko ichachat, kung kailan emotionally unavailable ako atm 🙂","o 'di'ba kung kailan 'di na tayo nagkikita sa school saka mo'ko ichachat, kung kailan emotionally unavailable ako atm.","Oh, see. Just when we no longer see each other at school anymore that's only when you'll chat me, just when I'm emotionally unavailable at the moment. ",
12.0,https://twitter.com/i/web/status/1463230028200611840,1.4632300282006118e+18,"(0.10526315789473684, 0.6842105263157895, 0.21052631578947367)",1,"IKAW ANG HUDAS!
MISTRESS KA LANG- MANG AAGAW NG ASAWA!!
Sino si RONNIE SABA DAYAN? DRIVER MO DI BA?",ikaw ang hudas! mistress ka lang- mang aagaw ng asawa!! sino si ronnie saba dayan? driver mo di'ba.,You're the Judas! You're just a mistress- stealing someone's partner!! Who's Ronnie Saba Dayan? Your driver right?,
,https://twitter.com/i/web/status/1463229699040047108,1.463229699040047e+18,"(0.13333333333333333, 0.4, 0.4)",0,,,,
13.0,https://twitter.com/i/web/status/1463228509606670336,1.4632285096066703e+18,"(0.3404255319148936, 0.5531914893617021, 0.0851063829787234)",1,"Umorder ako sa Shopee ng dress, a plain rust-colored dress. Na add to cart ko siya and na checkout, meaning available yung product. Aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di ba?🙃","umorder ako sa shopee ng dress, a plain rust-colored dress. na add to cart ko siya and na checkout, meaning available yung product. aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di'ba.","I ordered a dress from Shoppe, a plain rust-colored dress. I added it to cart and checkout which means the product was available. And guess what, they replaced it with something else because it was out of stock and they didn't told me hahahaha it's only right that I get annoyed, right?",
,https://twitter.com/i/web/status/1463226783789027329,1.4632267837890273e+18,"(0.8181818181818182, 0.0, 0.18181818181818182)",0- works but it's pure English,,,,
,https://twitter.com/i/web/status/1463226423032774656,1.4632264230327747e+18,"(0.17647058823529413, 0.23529411764705882, 0.5882352941176471)",0,,,,
14.0,https://twitter.com/i/web/status/1463226046950502403,1.4632260469505024e+18,"(0.07692307692307693, 0.7435897435897436, 0.15384615384615385)",1,"Ano na naman ba sumiya? Bored na bored ka na ba? Di ba dapat masaya ka kasi nanalo sila? Mukhang hindi ka kuntento e. Lika dito, yayakapin kita ng sobrang higpit.. 
Kawawa ka naman mukhang kulang ka sa pagmamahal.","ano na naman ba sumiya? bored na bored ka na ba? di'ba dapat masaya ka kasi nanalo sila? mukhang hindi ka kuntento e. lika dito, yayakapin kita ng sobrang higpit.. kawawa ka naman mukhang kulang ka sa pagmamahal.","What is it again, sumiya? Are you that bored? Shouldn't you be happy because they won? It looks like you're not even contented. Come here, I'll hold you tight..

Poor you you look like you're lacking of love.",
15.0,https://twitter.com/i/web/status/1463225480920764420,1.4632254809207644e+18,"(0.3448275862068966, 0.4482758620689655, 0.20689655172413793)",1,HUDAS!?? SINONG HUDAS? PPPSSSTTT FRAILTIES OF A WOMAN- DI BA IKAW ANG HUDAS— DRIVER MO MAYROON ASAWA PINATULAN MO? GUSTONG MONG KAININ PALA IS WAS “ SABA VARIETY OF BANANAS”,hudas!?? sinong hudas? frailties of a woman- di'ba ikaw ang hudas driver mo mayroon asawa pinatulan mo? gustong mong kainin pala is was saba variety of bananas.,"Judas!?? Who's the Judas?  Pppssstt frailties of a woman-  aren't you supposed to be Judas- your driver already has a wife and you went after him? turns out what you really want is the 'saba' variety of bananas!""",
,https://twitter.com/i/web/status/1463225272698736643,1.4632252726987366e+18,"(0.2564102564102564, 0.48717948717948717, 0.23076923076923078)",0 - private account,,,,
,https://twitter.com/i/web/status/1463225168378007554,1.4632251683780076e+18,"(0.0625, 0.75, 0.1875)",0 - private account,,,,
,https://twitter.com/i/web/status/1463224556814958595,1.4632245568149583e+18,"(0.0, 0.7222222222222222, 0.2777777777777778)",0,,,,
16.0,https://twitter.com/i/web/status/1463223626317004801,1.4632236263170048e+18,"(0.2857142857142857, 0.42857142857142855, 0.23809523809523808)",1,Di ba they tried it before Sineserye ata yun at Komiks pero di gaanobg kibagat kasi 2 months na yung pinakamatagal?,di'ba they tried it before sineserye ata yun at komiks pero di gaanobg kibagat kasi to months na yung pinakamatagal.,"Right they tried it before Sineserye, I think and Komiks but it wasn't too big then because the longest one only lasted two months?",
,https://twitter.com/i/web/status/1463223462466441219,1.4632234624664412e+18,"(1.0, 0.0, 0.0)",0 - pure english,,,,
17.0,https://twitter.com/i/web/status/1463223386012717061,1.463223386012717e+18,"(0.022222222222222223, 0.7555555555555555, 0.2222222222222222)",1,Bakit nandito pa ang mga ungas na rappler? Di ba kinansela na ng SEC ang lisensya nyo dahil mga fakenewsmaker kayo? Layas na kayo? Hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! Layas! Pweee!,bakit nandito pa ang mga ungas na rappler? di'ba kinansela na ng sec ang lisensya nyo dahil mga fakenewsmaker kayo? layas na kayo? hindi namin kailangan ang media na bias kaya ang kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! layas! pweee.,Why are the rappler idiots still here? Didn’t the SEC already cancelled your license because of the lot of you are fake newsmakers? That all of you are out? We don’t need biased media and that's why your colleagues are jailed for fake news that you all report! Leave! Disgusting!,
18.0,https://twitter.com/i/web/status/1463223004863746051,1.463223004863746e+18,"(0.025, 0.8, 0.175)",1,Sino ba ang nahnakaw kina Marcos? Ang AQUINO ang totoong nagnakaw sa kanila. Sila ang nagpasasa sa hindi kanila. WAG NGA KAYO TANGA! Manang mana kayo sa ina ninyo! Sayad sa lupa ang utak. Ipinagmamalaki ninyo? Ang talino di ba?,sino ba ang nahnakaw kina marcos? ang aquino ang totoong nagnakaw sa kanila. sila ang nagpasasa sa hindi kanila. wag ang kayo tanga! manang mana kayo sa ina ninyo! sayad sa lupa ang utak. ipinagmamalaki ninyo? ang talino di'ba.,"Who really stole from the Marcoses? It was the Aquinos who really stole from them. They indulged in wealth that wasn’t theirs. Don’t be stupid! You’re just like your mother! Your brain’s practically scraping the ground. And you’re proud of it? How smart of you, right?
",
19.0,https://twitter.com/i/web/status/1463222735451000834,1.4632227354510008e+18,"(0.17647058823529413, 0.47058823529411764, 0.29411764705882354)",1,"yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di ba talaga makakapagwait yan ng weekend?","yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di'ba talaga makakapagwait yan ng weekend.","That special request, they made it twice this week. Crazy, and not even at the same time instead. Can’t they really wait for the weekend?",
,https://twitter.com/i/web/status/1463222606996201478,1.4632226069962015e+18,"(0.8, 0.0, 0.2)",0 - pure english,,,,
,https://twitter.com/i/web/status/1463222507641585671,1.4632225076415857e+18,"(0.0, 0.625, 0.375)",0,di ba ngaaaa. mainis pa tayo lalo hihi @rzzjhy_jlndr,Di ba ngaaaa. Mainis pa tayo lalo hihi.,,
20.0,https://twitter.com/i/web/status/1463222354406875137,1.4632223544068751e+18,"(0.07142857142857142, 0.7142857142857143, 0.21428571428571427)",1,"Magdala ka ng escort, yaman ka di ba? Dagdagan mo na din ng ambulansya.","magdala ka ng escort, yaman ka di'ba? dagdagan mo na din ng ambulansya.","Bring your escort, you're rich right?  Might as well add an ambulance too.",
,https://twitter.com/i/web/status/1463222298412937216,1.4632222984129372e+18,"(0.7142857142857143, 0.0, 0.2857142857142857)",0 - pure english,,,,
,https://twitter.com/i/web/status/1463221980333674497,1.4632219803336745e+18,"(0.0, 0.7435897435897436, 0.23076923076923078)",0,,,,
,https://twitter.com/i/web/status/1463220968743399424,1.4632209687433994e+18,"(0.27906976744186046, 0.37209302325581395, 0.32558139534883723)",0 - private account,,,,
,https://twitter.com/i/web/status/1463220826505760769,1.4632208265057608e+18,"(0.16666666666666666, 0.5, 0.3333333333333333)",0,,,,
,https://twitter.com/i/web/status/1463220493037842433,1.4632204930378424e+18,"(0.8, 0.0, 0.2)",0 - pure english,,,,
,https://twitter.com/i/web/status/1463220414298001408,1.4632204142980014e+18,"(0.0, 0.2222222222222222, 0.7777777777777778)",0,,,,
,https://twitter.com/i/web/status/1463220262737006607,1.4632202627370066e+18,"(0.9629629629629629, 0.0, 0.037037037037037035)",0 - pure english,,,,
,https://twitter.com/i/web/status/1463219998415998979,1.4632199984159987e+18,"(0.0, 0.7777777777777778, 0.2222222222222222)",0,,,,
21.0,https://twitter.com/i/web/status/1463219913791664128,1.463219913791664e+18,"(0.4375, 0.25, 0.3125)",1,into the i-land nanaman? Haha di ba kayo nagsasawa? 'cause same i miss hanbin yawa,into the i-land nanaman? haha di'ba kayo nagsasawa? 'cause same i miss hanbin yawa.,Into the I-LAND again? Aren't you all tired? 'Cause same I miss Hanbin. ,
,https://twitter.com/i/web/status/1463219451252207618,1.4632194512522076e+18,"(0.2727272727272727, 0.5454545454545454, 0.18181818181818182)",0,,,,
22.0,https://twitter.com/i/web/status/1463219406322896896,1.463219406322897e+18,"(0.0, 0.6666666666666666, 0.3333333333333333)",1,di ba masarap ulam jan lods?,di'ba masarap ulam jan lods.,Is the food not yummy there lods?,
23.0,https://twitter.com/i/web/status/1463219378103537664,1.4632193781035377e+18,"(0.0, 0.8, 0.2)",1,Di ba? Hahaha! EKIS TALAGA,di'ba? hahaha! ekis talaga.,Right? Hahaha! Cross out for me.,
24.0,https://twitter.com/i/web/status/1463219018165219330,1.4632190181652193e+18,"(0.09090909090909091, 0.7272727272727273, 0.18181818181818182)",1,Depende sa kanya kasi hindi niya sinubmit Fearless di ba haha,depende sa kanya kasi hindi niya sinubmit fearless di'ba haha.,It depends on them because they didn't submit Fearless right haha.,
,https://twitter.com/i/web/status/1463218449308524544,1.4632184493085243e+18,"(0.2857142857142857, 0.5238095238095238, 0.19047619047619047)",0- private account,,,,
25.0,https://twitter.com/i/web/status/1463217238740127745,1.4632172387401275e+18,"(0.0, 1.0, 0.0)",1,Di ba 👉👈,di'ba.,Right.,
26.0,https://twitter.com/i/web/status/1463217197879226369,1.4632171978792264e+18,"(0.16666666666666666, 0.6333333333333333, 0.2)",1,"inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka 🥺🥺🥺🥺🥺🥺
","inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di'ba say uwu ang kung agree ka.","I'm just updating you beh because maybe next time you'll know, I'm still not a player but at least you're updated, right? Say uwu if you agree",
27.0,https://twitter.com/i/web/status/1463216813123072001,1.463216813123072e+18,"(0.2, 0.8, 0.0)",1,di ba pangit ka bonding,di'ba pangit ka bonding.,Right? they're no fun to bond with,
28.0,https://twitter.com/i/web/status/1463216003253366786,1.4632160032533668e+18,"(0.5714285714285714, 0.2619047619047619, 0.16666666666666666)",1,"Kasi if it's not legit, the mere mention of St Luke's as the testing center, St Luke's could have reacted right away, di ba? But so far, wala namang ganoon...DESPERADA lang ba talaga sila na mapatalsik si BBM🤦🤦🤦
","kasi if it's not legit, the mere mention of st luke's as the testing center, st luke's could have reacted right away, di'ba? but so far, wala namang ganoon. desperada lang ba talaga sila na mapatalsik si bbm.","Because if it's not legitimate; the mere mention of St. Luke's as the testing center, St. Luke's could have reacted right away, right? But so far, nothing like that happened… are they really just desperate to get BBM ousted?",
29.0,https://twitter.com/i/web/status/1463215830712270857,1.4632158307122708e+18,"(0.14814814814814814, 0.48148148148148145, 0.37037037037037035)",1,"Di ba nag open up si Anji ky Kyle..unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si TJ.

",di'ba nag open up si anji ky kyle..unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si tj.,"Anji opened up to Kyle, right? unlike the first time when she was so overwhelmed with emotion and didn't want TJ to say anything.",
30.0,https://twitter.com/i/web/status/1463215414154989571,1.4632154141549896e+18,"(0.25, 0.5625, 0.1875)",1,"oo nga eh, not sure if di ba macocount talaga. basta dinelete ko kasi badtrip ako 😂
","oo ang eh, not sure if di'ba macocount talaga. basta dinelete ko kasi badtrip ako.","Yeah that's right, I'm not sure if it really counts. I just deleted it because I'm in a bad mood
",
31.0,https://twitter.com/i/web/status/1463214900570853379,1.463214900570853e+18,"(0.28, 0.48, 0.24)",1,"Puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di ba pwedeng gcash date na lang?
",puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di'ba pwedeng gcash date na lang.,These people keep on inviting for coffee dates maybe I went too over-the-top manifesting that Starbucks planner. Can't we just have a GCash date instead?,• Di is shortened
32.0,https://twitter.com/i/web/status/1463214783109681157,1.4632147831096812e+18,"(0.3148148148148148, 0.3888888888888889, 0.2962962962962963)",1,"Pero naaawa tlga ako sa KyJi eh Di ba? Ang vulnerable p nmn nila kasi ang babata pa. . Just let them be nlang kasi gano'n sila as friends. .bakit nkikisawsaw pa ang mga nkakatanda. . Kung if ever may hidden agenda mn yang c TJ, pinapairal nya strategy nya...pero maawa nmn sna sya
","pero naaawa tlga ako sa kyji eh di'ba? ang vulnerable p nmn nila kasi ang babata pa.. just let them be nlang kasi gano'n sila as friends..bakit pa ang mga nkakatanda.. kung if ever may hidden agenda mn yang c tj, pinapairal nya strategy nya.pero maawa nmn sna siya.","I really feel bad for KyJi, right? They're so vulnerable because they're still so young. Just let them be—they're just like that as friends. Why are older people interfering? And if TJ does have a hidden agenda, he’s clearly working some strategy... but hopefully, he has some compassion too.
","shortened words but maintained:
• tlga, di, p, nmn, nlang

words that are preprocessed:
• nkikisawsaw to nakikisawsaw
• nkakatanda to nakakatanda
• mn to man
• c  to si 
• nya to niya 
• sna to sana
• sya to siya"
33.0,https://twitter.com/i/web/status/1463214664372813827,1.4632146643728138e+18,"(0.2, 0.6, 0.06666666666666667)",1,"Di ba sila nominated? Teka di ako masyado updated di ako masyado nag iiscroll madalas 😂
",di'ba sila nominated? teka di ako masyado updated di ako masyado nag iiscroll madalas.,"Weren’t they nominated? Wait, I’m not really up to date—I don’t scroll much lately.",
,https://twitter.com/i/web/status/1463214225573441536,1.4632142255734415e+18,"(0.14285714285714285, 0.5714285714285714, 0.2857142857142857)",0- account no longer exist,,,,
34.0,https://twitter.com/i/web/status/1463214159156289539,1.4632141591562895e+18,"(0.7346938775510204, 0.20408163265306123, 0.061224489795918366)",1,"Non-athlete here pero to these organization/s, di ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system? Peraan na lang? Hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice.

","non-athlete here pero to these organizations, di'ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system? peraan na lang? hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice.","I’m not even an athlete, but to these organizations—aren’t you concerned about how many athletes have changed their citizenship because of our system? Is it all just about money now? Don’t you even consider how much they’ve spent from their own pockets while you help them with support the size of a grain of rice?",
,https://twitter.com/i/web/status/1463214132258213888,1.463214132258214e+18,"(0.5217391304347826, 0.41304347826086957, 0.043478260869565216)",0,,,,
,https://twitter.com/i/web/status/1463214121860538368,1.4632141218605384e+18,"(0.375, 0.4375, 0.1875)",0,,,,
35.0,https://twitter.com/i/web/status/1463212541887143943,1.463212541887144e+18,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)",1,"Haphy ending naman 'to 'di ba? Kasi kung hindi, ipilit natin, pls 😭😭😭
","haphy ending naman 'to 'di'ba? kasi kung hindi, ipilit natin, please.","This is going to have a happy ending, right? Because if not—let’s just force one, please",
36.0,https://twitter.com/i/web/status/1463212250131353604,1.4632122501313536e+18,"(0.2222222222222222, 0.3333333333333333, 0.4444444444444444)",1,"BAKA NAMAN SI JAYZ AND DRAKE KUMOTA NA DIN DI BA HAHAHAHA EVERY YEAR UNG DALAWANG UN HAHAHAHAHAHAHAHAHA
",baka naman si jayz and drake kumota na din di'ba hahahaha every year ung dalawang un hahahahahahahahaha.,"Maybe Jay-Z and Drake already hit their quota too, right? HAHAHA those two are there every year HAHAHAHAHAHA",
37.0,https://twitter.com/i/web/status/1463212091821551616,1.4632120918215516e+18,"(0.0, 0.875, 0.125)",1,kaya nga di ba ang tanga niyo lang @PBBabscbn,kaya ang di'ba ang tanga niyo lang.,"Exactly! You’re just so dumb, @PBBabscbn",
,https://twitter.com/i/web/status/1463211885474435077,1.463211885474435e+18,"(0.0, 0.7142857142857143, 0.2857142857142857)",0,,,,
,https://twitter.com/i/web/status/1463211576333275141,1.4632115763332751e+18,"(0.25, 0.5625, 0.1875)",0,,,,
38.0,https://twitter.com/i/web/status/1463211331637571587,1.4632113316375716e+18,"(0.18181818181818182, 0.45454545454545453, 0.36363636363636365)",1,User talaga kayo 😭 di ba kayo aangat pag wla boys namin?,user talaga kayo di'ba kayo aangat pag wla boys namin.,You’re really users. Don’t you realize you wouldn’t even rise without our boys?,
39.0,https://twitter.com/i/web/status/1463210810558144516,1.4632108105581445e+18,"(0.2727272727272727, 0.45454545454545453, 0.2727272727272727)",1,Di ba beh nanalo na yung folklore last year ng aoty?,di'ba beh nanalo na yung folklore last year ng aoty.,Didn’t folklore already win Album of the Year last year?,
,https://twitter.com/i/web/status/1463210336484352001,1.463210336484352e+18,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",0,,,,
40.0,https://twitter.com/i/web/status/1463210087099502592,1.4632100870995023e+18,"(0.07142857142857142, 0.5714285714285714, 0.35714285714285715)",1,"Parang may lamay sa grammy eh noh antamlay magsalita di ba kayo naka kaen
",parang may lamay sa grammy eh noh antamlay magsalita di'ba kayo naka kaen.,"The Grammys felt like a wake, right? Everyone sounded so dull—have you not eaten?",
,https://twitter.com/i/web/status/1463209954093924353,1.4632099540939244e+18,"(0.0, 0.75, 0.25)",0,,,,
41.0,https://twitter.com/i/web/status/1463209493752283138,1.4632094937522831e+18,"(0.0, 0.8571428571428571, 0.14285714285714285)",1,Ako nga yung kuripot di ba hahaha,ako ang yung kuripot di'ba hahaha.,"I’m the stingy one, right? Hahaha",
42.0,https://twitter.com/i/web/status/1463209246569291777,1.4632092465692915e+18,"(0.30434782608695654, 0.34782608695652173, 0.34782608695652173)",1,"Yep. Best Pop Duo 🙌🏼 pero di ba nagsubmit sila for SOTY, AOTY saka yung iba pa for other categories pero waleyyyyy leche plan!!!!
","yep. best pop duo pero di'ba nagsubmit sila for soty, aoty saka yung iba pa for other categories pero waleyyyyy leche plan.","Yep, they won Best Pop Duo but didn’t they also submit for Song of the Year, Album of the Year, and other categories? And yet… nothing!! So frustrating!!!",
43.0,https://twitter.com/i/web/status/1463208979832578057,1.463208979832578e+18,"(0.043478260869565216, 0.6521739130434783, 0.30434782608695654)",1,"TEKA MARE NATUTUWA AKO PAG NANALO BA ALBUM MO PANALO RIN ANG INANG NATEN @oliviarodrigo
 PAKISAGOT BHIE MARAMING SALAMAT. PINOY KA NAMAN DI BA #GRAMMYs",teka mare natutuwa ako pag nanalo ba album mo panalo rin ang inang naten pakisagot bhie maraming salamat. pinoy ka naman di'ba grammys.,"Wait girl I'm just curious—if your album wins, does our motherland win too @oliviarodrigo? Please answer, sis, thank you so much. You’re Filipino, right? ",
44.0,https://twitter.com/i/web/status/1463208943312781317,1.4632089433127813e+18,"(0.3333333333333333, 0.2222222222222222, 0.4444444444444444)",1,"Look whos on the side, si hakdog di ba","look whos on the side, si hakdog di'ba.","Look who’s off to the side—it’s the hakdog, right?",
,https://twitter.com/i/web/status/1463208817798172672,1.4632088177981727e+18,"(0.07142857142857142, 0.5714285714285714, 0.35714285714285715)",0,,,,
,https://twitter.com/i/web/status/1463208582346776589,1.4632085823467763e+18,"(0.0, 0.8571428571428571, 0.14285714285714285)",0,,,,
45.0,https://twitter.com/i/web/status/1463208541125111810,1.4632085411251118e+18,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)",1,oo HUWHAHAHWUHSGA,oo huwhahahwuhsga.,"Yes, HUWHAHAHWUHSGA",
46.0,https://twitter.com/i/web/status/1463208511978934272,1.4632085119789343e+18,"(0.12, 0.68, 0.2)",1,"DI BA!!! Less gastos!! Hahahahahaha. 

May isa ako ngayong sisimulan but tingnan natin kung maganda. Bata uli ang bida hahahaha balitaan kita if maganda HAHAHAHAHAHA",di'ba! less gastos!! hahahahahaha. may isa ako ngayong sisimulan but tingnan natin kung maganda. bata uli ang bida hahahaha balitaan kita if maganda hahahahahaha.,RIGHT!!! Less expenses!! Hahahahaha. I’m about to start a new one—let’s see if it’s good. The main character is a kid again hahaha I’ll update you if it’s good HAHAHAHAHA,
,https://twitter.com/i/web/status/1463208210769141761,1.4632082107691415e+18,"(0.0, 0.5454545454545454, 0.45454545454545453)",0,,,,
,https://twitter.com/i/web/status/1463208106247163905,1.463208106247164e+18,"(0.21739130434782608, 0.391304347826087, 0.391304347826087)",0,,,,
47.0,https://twitter.com/i/web/status/1463207990421454851,1.4632079904214548e+18,"(0.36363636363636365, 0.5454545454545454, 0.09090909090909091)",1,"mellow touch, istasyon ng mga motel di ba? 😂 puro love songs...","mellow touch, istasyon ng mga motel di'ba? puro love songs.","Mellow Touch—that’s the motel radio station, right? It’s all love songs...",
