id,translated_text
97,"1463103825636589573,""I get you orb. but are you gonna give up? I'll throw up but never give up!"""
98,"1463243886306885633,""what do you do when you have makulog? we make putol it, right?"""
99,"1463228509606670336,""I ordered a dress on Shopee, a plain rust-colored dress. I added it to my cart and checked it out, meaning the product was available. Well, they replaced it with a different kind because they said it was out of stock and they didn't tell me, hahahaha, it's right for me to be annoyed, isn't it?"""
100,"1463081607607115776,""isn't it that when you use mobile data, the ip address is different?"""
101,"1463082453946359810,""that's right, isn't it laura, I mean lola."""
102,"1463021931507105802,""morning mga aswang. what happened to our conversation ha. we really had a clarification. hahaha. deannawong deanna wong."""
103,"1463039944184664064,fail if fail hahaha."
104,"1463042707522146310,Ate hazel maybe you can put dt deannawong deanna wong."
105,"1463044002307993607,sorry babe I'm still sleepy deannawong deanna wong."
106,"1463044676244623361,""Go to sleep then haha. deannawong deanna wong."""
107,"1463048773421043712,""they say you'll get tired but you'll never give up, what's the connection?"""
108,"1463049539598708736,hmmm ate hazel haha deannawong deanna wong."
109,"1463049869896077312,don't laugh admin rufa contribute deannawong deanna wong."
110,"1463050145260392452,I already contributed earlier. Where were you earlier? deannawong deanna wong."
111,"1463050433207934977,the witches didn't wake me up eh."
112,"1463050849056280577,admin rufa here's dela cruz ohh she doesn't have a dt deannawong deanna wong."
113,"1463053234537435136,""This one's a tattletale, like a child. deannawong deanna wong."""
114,"1463061946274619393,""Is it like Angie? like a grade one doc hahaha.. deannawong deanna wong."""
115,"1463064394737270784,""ohh why am i included in your conversation hahaha it's just you guys no one else hahaha deannawong deanna wong."""
116,"1463065469812805633,""oh different angie, go ahead and mute your notifications you'll regret it when you're late i told you what happened won't be repeated deannawong deanna wong."""
117,"1463076091590057988,""I don't know anything about your topic. so I'll just read. If I interrupt without knowing anything, you'll say I'm clueless again hahahaha. so it's better to just read and that's it. deannawong deanna wong."""
118,"1463079811832852480,""Jusko wasn't angie briefed last night ate dizon about their doc's stand? haha deannawong deanna wong."""
119,"1463082197343162370,""Don't expect anything from tinola, you'll just get hurt. deannawong | Deanna Wong."""
120,"1463092296963051522,""didn't we talk about this last night doc? why don't you know anything now hahaha. deannawong | deanna wong."""
121,"1463080831245860867,""that's why it's a good thing she has an excuse....even if we tell her, it's useless....hahah deannawong deanna wong."""
122,"1463082625191587846,""That's why ahaha! no matter what meeting you have. the next day you know nothing again haha deannawong deanna wong."""
123,"1463204569819672576,""why is this oliv1a rodr1g0 always nominated but bts is not?"""
124,"1463204794865274887,isn't it!?"
125,"1463081523910168579,""oh my god, isn't it possible that she's doing great and also misses someone? what is this."""
126,"1462982131454337028,""This is the full version. I don't know why it was cut, but it's so funny, damn it."""
127,"1463081416208519172,""So brainy, right? hahaha"""
128,"1463204326726266880,""FUCK AKDUEJHSJWUSJAJA GRAMMYS ARE SO STUPID DON'T YOU KNOW HOW TO SIDE STEP RIGHT LEFT TO MY BEAT"""
129,"1463244091362201600,""The last one who had this lost, right? So you know what this is... 😂😂😂"""
130,"1463220262737006607,will never for the life of me understand how the lions and cowboys monopolized that entire audience and no one in the league really seems to care."
131,"1463208943312781317,""look who's on the side, it's hakdog isn't it"""
132,"1463205228824576003,""fuck you, aren't you going to reply?"""
133,"1463208979832578057,""wait mare i'm so happy if your album wins will our mother win too @oliviarodrigo please answer bhie thank you so much. you're filipino right #GRAMMYs"""
134,"1463230452739702784,""oh right, you'll only chat with me now that we don't see each other at school anymore, now that I'm emotionally unavailable atm."""
135,"1463081601395421187,so sosyal update once a month for 10 months."
136,"1463081675227746307,""isn't it ma hahaha it was worth it after all."""
137,"1463203424359444480,""aren't the others being shown"""
138,"1463205062088347648,""why are you all saying wtf, can't you just say wth?"""
139,"1461677633041620996,""it's really messy to be honest but your heart is still saying it's ok."""
140,"1461910439869120524,""that's why the lazy one is back to war on drugs bbm and taking care of it!"""
141,"1461945935844372490,it's a scam."
142,"1462073822782230529,""but if your candidate is like this, are you the smart one?. just asking!"""
143,"1462199443357274114,"" haist. i really thought you were burning something. you don't like my meme huh. okay, i'll give you another one. is that good enough for your taste?"""
144,"1462234101231013892,""he really said it, leni leave now."""
145,"1463002386235281409,""Witweeeeew! It should have been a long time ago."""
146,"1463021974074978307,""your intelligence is wrong tatay digs.. love you bbmsara there's no one else."""
147,"1463025650370232320,THE ADDICT BOY IS SUCKING UP AGAIN."
148,"1463082242990030848,""That's why Pres. Duterte said before, right? They're stupid because they're easily fooled by his baits. You know, their motto is bobo is life. That's why even their candidate is the national idiot. 🤭🤭🤭"""
149,"1463206339908235268,""beli di'ba where's your kbl wording? it's really cool."""
150,"1463208511978934272,""RIGHT!!! Less expenses!! Hahahahahaha. I have one I'm starting now but let's see if it's good. The main character is a child again hahahaha I'll let you know if it's good HAHAHAHAHAHA"""
151,"1463082076664565760,hahahahhahahaha that's how juji is but it's really him eme."
152,"1463082368344858625,""isn't it jihyun who smelled it in his direction? just kidding hahahaha love you jujiiii even though it was really you."""
153,"1463082870742814731,admit it juji it's normal to fart."
154,"1463083022463471618,WE'RE IN THE FOREST SO IT DOESN'T SMELL MUCH HAHAHHAHA."
155,"1463202017510232064,""aren't you hurt, you fuckers grammys?"""
156,"1463205069596160002,""i'm still disappointed i was hoping for a music video and then they weren't in the last 3 categories what was that? out of 7 only one, don't they know how to look, they're just scared hays"""
157,"1463196074613436417,""I wish everyone could announce this quickly, right?"""
158,"1463204808601440257,""It feels so good to say bad... words."""
159,"1463204883205476361,I'm so annoyed, what is this?"
160,"1463205125569318914,same, they really don't want to nominate him."
161,"1463205709235953664,""AND THEY EVEN COVERED THEIR FACES WHILE ANNOUNCING, WHILE THE OTHERS WERE PUT ON THE SIDE, WHAT'S THAT?"""
162,"1463207793016520706,""yeah i was also wondering, can't they fit it in? they'll just compress the video, i'm so annoyed grr."""
163,"1463201662567268355,""WHO'S STILL AWAKE, INTERACT MGA TEH."""
164,"1463202308011950083,""okay who am i to be noticed, right?"""
165,"1463197917737467905,""you're so listless, didn't you eat?"""
166,"1463202741992374272,""Luh?? isn't it awkward?? no. hahaha i'm also messy irl. why do you think i'm here? hahaha curiouscat.qaneverserenepo."""
167,"1463204385979207681,""FUCK WHY DIDN'T I LEARN, DAMN IT"""
168,"1463204716234813440,""I knew there would be a consequence for being so happy, they're okay now, don't they see that? that's what anji is crying about, that they don't understand the kyji's relationship, she doesn't know how to act, where to place herself. please help huhu they still have a date."""
169,"1463238663093948416,""That's right..huhu..I hope this wednesday, the yellow heart will still be okay"""
170,"1463197490136506369,""why are you always on defense mode whenever I say what's on my mind. can't I just say what's on my mind because I'm about to explode if I don't have anyone to talk to?"""
171,"1463219116467052549,It's hard to sleep when you're hungry HAHAHA."
172,"1463219406322896896,""isn't the food there delicious, lods?"""
173,"1463201382983352321,""isn't it supposed to be pronounced ley miserab there?"""
174,"1463199944966164484,""isn't this in order, damn it?"""
175,"1463195892723625984,""why are they so sad when they announce, aren't they happy with their lives?"""
176,"1463196771845173248,""when you're sleepy and they're still announcing like that...HSHSHSH"""
177,"1463197512324751360,""I'm already closing my eyes, damn it, HAHAHAHAHAH"""
178,"1463196606464151552,maybe they are also sleepy."
179,"1463243390603370496,""so relaxing. but it would be more relaxing if when i go back to elyu i can call someone special, not always being a chaperone, right :("""
180,"1463192880583823360,""damn it, aren't these people's lives happy, move over, I'll go there."""
181,"1463196440738484232,""Did you have breakfast, right?"""
182,"1463195943054954498,""dear ra, i think you need to include best kpop album now.. more inclusions right? grammys."""
183,"1463196068498132994,""if you don't want to, just have the best opm album grammys."""
184,"1463204898053378051,""butter isn't in the song of the year? aren't you informed of butter's achievements? geez, watch the news and check twitter, you fools."""
185,"1463205708892041219,""Right? So what's the merit of their speech at the start? It's so infuriating."""
186,"1463205525974175749,""DON'T THEY DESERVE IT?"""
187,"1463192784903368705,""you're so serious, cheat right away? can't you just memorize it? hahahaha so you did it again curiouscat.qadospordoss22p."""
188,"1463192987601567746,""what's up guys, didn't you eat? you have no energy"""
189,"1463195719813066753,""huhu. tbh, this put all the blame on kd with the that is happening. isn't that mutual? so hms are now suggesting that anji should completely ignore kd? i really don't understand why they are blaming kd."""
190,"1463197164708921344,""didn't these announcers have coffee?"""
191,"1463205353303142406,""who am i to have a good life, right xd"""
192,"1463207985518301188,""Maybe you know where it was hidden. Your family also benefited from the family of the thief, right? 😂"""
193,"1463205237200547841,""WHO TOLD YOU TO SNOB WILLOW?? HAAAA???? DIDN'T YOU FIND LIFE WAS A WILLOW AND IT BENT RIGHT TO YOUR WIND BEAUTIFUL HAAAA?? HAAAA?"""
194,"1463204665584087043,""it seems that the other housemates also need to set boundaries in interfering with kd and anji's lives. i get that you're concerned about them, but you don't really know them yet. you don't know what the foundation of their is. so please, they are already emotionally pitiful."""
195,"1463205300857573379,""don't they feel sorry for anji? her crying was so intense, especially the last part before the stream ended. she's scared of what others will say about her. what she's afraid of, she's experiencing right in her own home."""
196,"1463206017458597895,""I don't know if Anji still wants what she's doing. If she's really expressing herself. Or if she's just following what the housemates want her to do. We don't know. Because she's afraid of being judged. So please. Let her learn on her own."""
197,"1463193142014840835,""I like this, is anyone still awake?"""
198,"1463197101525856256,""of course that's why you're my lodibabes eh sept 27 libras is the only red flag in our sign."""
199,"1463197631606231040,""shouldn't it be sept. 28 hahaha."""
200,"1463197701525307399,I'm on your side!"
201,"1463182409638158340,""isn't it both yours?"""
202,"1463194208513126405,""damn it, you can do this, i've been switching between youtube and twitter for a while now."""
203,"1463194636852228096,""isn't it? i was surprised it suddenly became small, damn it's possible."""
204,"1463193931647111169,""continuously, doesn't his throat get dry?"""
205,"1463182269137371139,""I want to mess around, can't Akira and Ravi just have sex right away?"""
206,"1463194372288413697,""These people probably have a big problem, why are they so lifeless, aren't you happy with the nominees?"""
207,"1463194135087939584,""hey isn't bg music a thing for them, i think there was some last year."""
208,"1463192833356189704,""hu che cha sra paisy e nu di'ba wai harame e gatli di."""
209,"1463192477351829506,isn't it?"
210,"1463192727017844737,""i'm not sure if my answers are correct, but at least it's done, right? i need to move on right away because there are more to come. who am i to be given materials to use for a quiz, right?"""
211,"1463194600160387076,joke this is really the last one."
212,"1463196230779949064,""you know i'm going crazy here we're the same with xiaojun and mark but i'm going to commit to sungchan and chenle"""
213,"1463196698562363394,""damn wait i made a typo hahahhahahahaaha well my first one was chenle the one sitting and as of now it's this."""
214,"1463197469844512768,""HOW DID IT BECOME A CHICK!!/1?!1??! BUT THE FIRST TIME I SAW IT, IT WAS REALLY XIAOJUN, DAMN IT LOOKS LIKE I'M GOING TO EAT A BOGEY."""
215,"1463196433440333830,""Hey, you know, earlier, my first one was really with Chenle, the chick is the one sitting."""
216,"1463196569470377984,""can't we fast forward this?"""
217,"1463196561974775811,""didn't b3nb3n submit for best folk album?"""
218,"1463196113976979458,""can't it be best americana album BE right away hahahaha I'm sleepy."""
219,"1463197372591181834,""is everyone drunk yet? i hope we're all together, right? x.comispaces."""
220,"1463198018388127749,""There's a first and a last HAHAHAHHA it's like a race."""
221,"1463192752825331713,""before i sleep i just want to confess na im scared to end up like my clients asking if they will ever experience romantic relationships. theyre in their mid and late 20s to early and mid 30s; successful in careers but would still crave that romantic human experience:(."""
222,"1463193143977725954,""rold yes i'm a bad person but i deserve this right? if my clients deserved it then me of course xd."""
223,"1463195757973229568,""bts hello aren't you going to go live?"""
224,"1463219378103537664,""Right? Hahaha! It's really an X."""
225,"1463197291150331912,""damn it's so quiet in the studio i can even hear the girl walking, aren't you sleepy damn it."""
226,"1463195251712020484,""stfu you have class right?"""
227,"1463195635473993728,yes babe you're so noisy because you're begging for streams."
228,"1463184867873595393,""finally he's in college in bite me then you want to bring siwat back to high school."""
229,"1463185555378696192,""isn't praram nonexistent in the lm universe? he's only in grade 10 or 11 laugh out loud."""
230,"1463186597763956743,but i have so many shoes."
231,"1463187195729092613,but the details damn it but where do i wear this? can it fit in my shoe closet?"
232,"1463187423777615873,""😈 but you don't have those shoes yet, right? 😈 just kidding. haha"""
233,"1463207445883351042,""hahahaha not yet but i already have boots and chunky high cuts."""
234,"1463161601306116096,Neggy's pink nails."
235,"1463163669697683460,Is that your cat, dai?"
236,"1463184424636665856,""yes dai, why?"""
237,"1463184676630134789,You're so krist dyan. haha."
238,"1463185098552262656,""haha why krist dai, can't it be bright or sunny instead?"""
239,"1463185415175749636,""Is Bright a cat lover too? Who is Sunny? The only one I know is mang sony on our corner."""
240,"1463186637903785984,""haha yes dai, he has a ragdoll cat. sunny is the first thai actor i liked..the reason why i went to thailand and met his friend. he's in i'm fine thank you love you and in my ambulance, bright was the young sunny there."""
241,"1463192492849786881,""aren't you guys watching the grammys?"""
242,"1463201570019950595,""biggest slap to that industry plant laugh out loud didn't you carry it?"""
243,"1463182213747396612,""isn't it 3am?"""
244,"1463181241977606146,""He shouldn't win anymore. It's time for him to rest. Doesn't he always say he's tired and he will resign."""
245,"1463181457870897154,""hey bhie arthur miguel is our idol right?"""
246,"1463201121082789897,""damn i dreamed about him last night. at a party.. holy shit.. can i say it?"""
247,"1463209920019542019,""Can you say """"damn what a lucky bastard""""?"""
248,"1463225908647665668,I've been screaming it for 6 hours so imagine."
249,"1463201581181157389,""But in what sense? But are we also going to wander around Istanbul like that?"""
250,"1463854705839382529,""Really? Good girl, is there a photo too?"""
251,"1463192318324842498,""isn't he happy with his job announcing?"""
252,"1463193558089826306,you're an idiot ahahhahahahahahahahhahhaha."
253,"1463193680118910976,give his job to cardi b hahahahhaha."
254,"1462644085596983297,""you are the minstrel, and i'm your guitar. i play your music straight from the heart. that's how vp leni is, like a radio station in the late 80's, you'd really wait for it because of the beautiful message. this el nido is like bombo radyo, every word dong.. tigi dong dong. it hurts my ears!"""
255,"1462668191012847619,""The mellow touch 94.7! radio stations were better back then than now. another one is city lights 88.3."""
256,"1463207990421454851,""mellow touch, the station for motels, right? pure love songs."""
257,"1463661340279508995,""I'm not sure since I haven't been inside a motel yet. 😊"""
258,"1463681248711241729,""...they're a bit outdated, so the chance is slim sir...😂😂😂"""
259,"1463192237370527748,""oh right? three of my units have youtube on recording academy but because of the trauma from what you did last year i can't watch. huhu. god is good, bts will be nominated in various categories and will definitely win all of them this time!"""
260,"1463205471641243648,""what's new, right? hmmp."""
261,"1463007001982631940,""And how did they do that? they invited themselves went to the lab and demanded they be tested? is that allowed?"""
262,"1463181471485673484,""isn't that what they call partners in crime? and if they win, they'll be the same? hayssss."""
263,"1463184365484224518,12? im at school in the middle of back bay right now, havent seen a bike since october."
264,"1463187252020928518,""i work in the south end. i see 20 or so a morning near ruggles.no matter the weather."""
265,"1463191808473665540,""It's beautiful, right? hahhahaha"""
266,"1463191323109105664,""before, we were just dreaming that hopefully, in the future, we could perform on this stage. we've watched many concerts at araneta before, josh said. sb19 bazinga_sb19 news.abs-cbn.comentertainme via."""
267,"1463165325676007430,""good evening! our sales have been good these days and we can't find a stray victim so here we are:) comment below why you deserve a d-1 ticket (can choose 27 or 28). ends ate:30am tomorrow -sera sb19."""
268,"1463186008137400320,""a straight fanboy deserves to watch the concert because i admit, i was once a hater(not a basher cause i never bash them). i've been a silent fan for a long time i just don't admit it but well, i really fell in love with sb19 and i even made a for them."""
269,"1463187240268726272,""I've missed two concerts already, I hope I don't miss their concert this time. I'm joining so many GAs but I haven't won any of them HAHAHA. I'm deserving, right? I really don't have money for the ticket because I'm just a student. I'll just make up for it in the F to F concert if ever."""
270,"1463178597464621057,""so at 9 pm we played a mafia game and it's still not over, I've finished my exams but they're still not done, can it be finished today?"""
271,"1463178872556457984,they've been playing for 3hrs and the mafia is still alive."
272,"1463182375349747716,it just finished now."
273,"1463039821513777159,""saywhat: a doctored image made the rounds on facebook this weekend supposedly showing a caravan in pampanga by supporters of. it's fake."""
274,"1463187130763468805,""they have a script... it's supposedly the yellowtards who uploaded it to confuse them. because they said the account is already deactivated. they said they stand by their posts. but didn't the one who posted with the drifit shirt also deactivate?"""
275,"1463199345398796291,""eian is having problems. why didn't they let him leave earlier hahahaha."""
276,"1463207906698948613,isn't it?"
277,"1463189670926290949,""why is tj always interfering with loveteams. can't he just let them be, because they're not doing anything wrong. pbbkumutransformers."""
278,"1463177574180286465,""why do you admit and embrace your bad attitude? shouldn't you change it if you see it in yourself. no hate just saying. radikalangmagmahal."""
279,"1463168494053335047,im sure you already know what im talking about."
280,"1463185415343525889,isn't it!! i like where this is going studj i beg."
281,"1463189331149869058,""i did my best right? but why is it still not enough?"""
282,"1463181955269156869,""i haven't seen the mother of these since last night, what can i feed them? i only feed old stray cats. i feel sorry for them, here we go again with the gay who will take care of the abandoned children of the straight.. just kidding. send help."""
283,"1463183134048931845,buy the smallest syringe and milk."
284,"1463185722177773569,""okay so fresh milk is fine right, since they're still babies? i have a syringe for lily's vitamins... thanks!"""
285,"1463188105553678336,""yep ok naman but if c-careerin mo you can buy milk na for kittens sa petshops. you're welcome. also rub them sa may pwet na area nila to stimulate mothers tongue licking them. use towel nalang kasi mahihirapan sila mag poop if walang ganong licking sensation."""
286,"1463183826763808769,what is the english of petchay."
287,"1463184643813871626,isn't it cabbage?"
288,"1463189591939158023,""can't he just be grateful?"""
289,"1463183769427398664,""well for those who don't want to believe you can file a petition. that's what's popular now right 😂😅."""
290,"1463174772548849664,""when is the announcement? we're ready to be surprised, right? 🤭😁"""
291,"1460055805990866947,""sayout.mesayrubydolllight hi! feel free to message me in here, kasi natatabonan mga dms nyo kaya here nalang:))."""
292,"1463171202063732754,""- yes, my love - you."""
293,"1463171486299168782,""- not an idiot - should I be thrilled, babe? - tomorrow"""
294,"1463171785621446664,""- very good 5 points - what do you care."""
295,"1463172034792407059,""- you guess - okay love - who are you?"""
296,"1463172358638817281,""- it doesn't look like you right? but for real - ilyt."""
297,"1463172536456392708,""- a miracle - let's go, babe."""
298,"1463172790195040269,""- ily - talk to teddy first."""
299,"1463173020399411208,""- I-I-I-I don't know them - hi, yea sure."""
300,"1463175696809869327,""just thinking about how many trainees did not get to debut just because they did not fit the image of the group the company wants to think na ininstill sa kanila yung thot na makakadebut ka lang pag nagwork hard ka (meritocracy) wll it's tru na kailangan nilang kumayod."""
301,"1463175700559630336,""and work hard in the early-mid stages of trainee life to improve and pass the monthly evaluation, but in the later stage or phase of the trainee journey, right before debut, no matter how hard you practice, if you don't fit the group they want to debut,"""
302,"1463175706884538369,""it seems like everything will be wasted. right? there are also issues about popular or known trainees like why they left a certain entertainment, did they violate anything? like that, didn't we think that what if they were just removed because the company didn't like their appeal or image?"""
303,"1463175709829046286,""there are many circumstances where many popular trainees leave a company and then later we find out that the company is debuting a group. e.g. the time when many popular sm trainees left sm and then we just found out that aespa is debuting. RIGHT."""
304,"1463175712525803520,i'm not saying that's the reason but what if."
305,"1463177056410238976,""i really want to be an insider hahahah i want to know the thought process of the trainees' teachers and producers in choosing the trainees to debut. i watched stayc's documentary like they were legit told that they didn't work hard enough and so on."""
306,"1463177080556896269,""that they won't be able to debut if their performance is like that. but during the last evaluation, one was removed and you can really tell that she doesn't fit stayc's image, please or this is just a psychological thing that I'm just used to seeing stayc."""
307,"1463173002267398149,""president cyril ramaphosa said that although he was disappointed with how they performed as the anc in the first november elections, these disappointing results taught them something new. sabcnews moshate."""
308,"1463203456643383296,""you think what you're saying to me doesn't hurt? that i'm a glutton? why? isn't that hurtful? you even eat pigeons. she said let's go ruella let's catch the pigeon let's get it. oh she's the one you should be telling off."""
