id,text,preprocessed_text,english_translation
1463212250131353604,BAKA NAMAN SI JAYZ AND DRAKE KUMOTA NA DIN DI BA HAHAHAHA EVERY YEAR UNG DALAWANG UN HAHAHAHAHAHAHAHAHA,baka naman si jayz and drake kumota na din di'ba hahahaha every year ung dalawang un hahahahahahahahaha.,"maybe jay-z and drake have reached their quota too, right? hahahaha those two are there every year hahahahahahahahaha."
1463215935628582917,Ano pa asahan natin sa granmnys 🤡🤡🤡,ano pa asahan natin sa granmnys.,what else can we expect from the grammys.
1463084149250539523,hoy may paspace si jini space din kayo pabasa uli @fyeahaetzy di ba @yjmnss,hoy may paspace si jini space din kayo pabasa uli di'ba.,"hey, jini has a space, you guys have a space too, read it again, right?"
1463211331637571587,User talaga kayo di ba kayo aangat pag wla boys namin?,user talaga kayo di'ba kayo aangat pag wla boys namin?,you guys are really users. can't you succeed without our boys?
1463217238740127745,Di ba,di'ba.,right?
1463212091821551616,kaya nga di ba ang tanga niyo lang @PBBabscbn,kaya nga di'ba ang tanga niyo lang.,"that's why, right? you're just so stupid."
1463239799536377865,the trauma u gave me tapos ganyan ka ngayon. ang tanda mo na di ba uso character development,the trauma ikaw gave me tapos ganyan ka ngayon. ang tanda mo na di'ba uso character development.,"the trauma you gave me and now you're like that. you're old now, isn't character development a thing?"
1462907492220952584,"Doug Jones, who had 62 saves in two seasons with the Astros, died from complications with COVID-19, according to former Astros and Indians teammate Greg Swindell. chron.com/sports/astros/arti…","doug jones, who had 62 saves in two seasons with the astros, died from complications with covid-19, according to former astros and indians teammate greg swindell.","doug jones, who had 62 saves in two seasons with the astros, died from complications with covid-19, according to former astros and indians teammate greg swindell."
1463063869161541635,Today with @SB19Official Si @stellajero_ as usual... Full video soon :) #SB19OZMediaCon,today with si as usual. full video soon.,today with as usual. full video soon.
1463084409641320451,bakit naman hindi 'di ba stell HAHAHAHAH lahat ng jingle nila parang kanta na rin naman nila. @SB19Official #SB19 #SB19OZMediaCon #SB19OZAnnivConcert #SB19Anniv3rsary #Bazinga_SB19,bakit naman hindi 'di'ba stell hahahahah lahat ng jingle nila parang kanta na rin naman nila.,"why not, right stell? hahahahah, all their jingles are like their own songs anyway."
1463222606996201478,y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise,yall are lucky i dont have a capture card for my switch yall do not wanna watch me play xenoblade i promise.,yall are lucky i dont have a capture card for my switch yall do not wanna watch me play xenoblade i promise.
1463077459079753733,Ang talino at ang galing ng nakaisip ng ganitong concept. Originally Filipino talaga. BGYO GELO CONCEPT ART #BGYOkundiman #BGYO @bgyo_ph,ang talino at ang galing ng nakaisip ng ganitong concept. originally filipino talaga. bgyo gelo concept art.,the person who thought of this concept is so smart and talented. truly originally filipino. bgyo gelo concept art.
1463080285411561474,True ganda pa BGYO GELO CONCEPT ART #BGYOkundiman @bgyo_ph,true ganda pa bgyo gelo concept art.,"true, it's beautiful. bgyo gelo concept art."
1463081253658238982,Di ba? Kudos talaga sa management at sa buong team ng BGYO BGYO GELO CONCEPT ART #BGYOkundiman #BGYO @bgyo_ph,di'ba? kudos talaga sa management at sa buong team ng bgyo bgyo gelo concept art.,right? kudos really to the management and the whole team of bgyo. bgyo gelo concept art.
1463209551579467777,ratio is 3 wins over 5 AOTY noms omg,ratio is 3 wins over 5 aoty noms oh my god.,ratio is 3 wins over 5 aoty noms oh my god.
1463209836997328896,Bes isang nomination lang??,bes isang nomination lang?,"bes, just one nomination??"
1463210395792211968,oo beh maski folklore lps di nominated,oo beh maski folklore lps di nominated.,"yes, beh. even folklore lps wasn't nominated."
1463210810558144516,Di ba beh nanalo na yung folklore last year ng aoty?,di'ba beh nanalo na yung folklore last year ng aoty?,"didn't folklore already win aoty last year, beh?"
1463211090955800576,"yes, pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","yes, pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed.","yes, but she submitted the folklore long pond sessions for best music film but it was snubbed"
1463212088059314180,Ahh okay. Im expecting kase meron sya more than 2 nomination,ahh okay. im expecting kase meron siya more than to nomination.,ahh okay. i'm expecting because she has more than 2 nominations.
1463225480920764420,HUDAS!?? SINONG HUDAS? PPPSSSTTT FRAILTIES OF A WOMAN- DI BA IKAW ANG HUDAS— DRIVER MO MAYROON ASAWA PINATULAN MO? GUSTONG MONG KAININ PALA IS WAS “ SABA VARIETY OF BANANAS”,hudas!?? sinong hudas? frailties of a woman- di'ba ikaw ang hudas driver mo mayroon asawa pinatulan mo? gustong mong kainin pala is was saba variety of bananas.,"judas!?? who's judas? pppsssttt frailties of a woman- aren't you the judas— your driver has a wife and you had an affair with him? what you wanted to eat was actually ""saba variety of bananas""."
1463212541887143943,"Haphy ending naman 'to 'di ba? Kasi kung hindi, ipilit natin, pls","haphy ending naman 'to 'di'ba? kasi kung hindi, ipilit natin, please.","this has a happy ending, right? because if not, let's force it, please."
1463177917412917254,Ang TL ko nakakaloka. Bedscene. Calendar Girl mixed with football and basketball plus Phil politics. Pati ako nahihilo.,ang tl ko nakakaloka. bedscene. calendar girl mixed with football and basketball plus phil politics. pati ako nahihilo.,my timeline is crazy. bed scene. calendar girl mixed with football and basketball plus phil politics. even i'm getting dizzy.
1463227840573362189,Huwag mo kasi akong imute para may loveteam.,huwag mo kasi akong imute para may loveteam.,don't mute me so we can have a loveteam.
1463232350578479104,Saan ko ba naman mukukuha ang mga Bea story kung nakamute ka 🤣,saan ko ba naman mukukuha ang mga bea story kung nakamute ka.,where else would i get the bea stories if you're on mute?
1463232963257188364,Inaabsorb ko pa nga pagiging calendar girl ni Bea. Hahahhaaha,inaabsorb ko pa'nga pagiging calendar girl ni bea. hahahhaaha.,i'm still absorbing bea's being a calendar girl. hahahhaaha.
1463234596011745288,Okay naman siya ha. Hindi cheap ang dating. Parang mga swimsuit lang naman na very sexy. Saka ganda niya ha. Blooming. Ganda pa ng shape. She needs to grow up already. Tanda na niya noh. Di na bagay pasweet. Saka mganda naman mga kuha. Masasanay ka din.,okay naman siya ha. hindi cheap ang dating. parang mga swimsuit lang naman na very sexy. saka ganda niya ha. blooming. ganda pa ng shape. she needs to grow up already. tanda na niya noh. di na bagay pasweet. saka mganda naman mga kuha. masasanay ka din.,she's okay. it doesn't look cheap. it's just like very sexy swimsuits. and she's beautiful. blooming. her shape is great too. she needs to grow up already. she's old. the sweet image doesn't suit her anymore. and the photos are beautiful. you'll get used to it.
1463237844475035654,"Alam ko nga matagal na syang kinukuha nyan, siguro ngayon nga lang sya pumayag dahil confident at di na mahigpit yng mgt nya. Syempre may image din naman dati na LL. Atsaka di ba problem nya din dati built nya.","alam ko'nga matagal na syang kinukuha nyan, siguro ngayon nga lang siya pumayag dahil confident at di na mahigpit yng mgt nya. syempre may image din naman dati na ll. atsaka di'ba problem nya din dati built nya.","i know they've been trying to get her for a long time, maybe she only agreed now because she's confident and her management isn't as strict anymore. of course, she used to have that ll image. and wasn't her build also a problem before?"
1463246426989903874,Saka may limitations siguro sa contract niya dati. I'm sure mas may control siya sa contract niya ngayon.,saka may limitations siguro sa contract niya dati. i'm sure mas may control siya sa contract niya ngayon.,and maybe there were limitations in her previous contract. i'm sure she has more control over her contract now.
1462402546224361473,So mukhang ipupush talaga ng ABS-CBN ang limited episode and seasonal line up next year ha. New era of PH Television habit na talaga.,so mukhang ipupush talaga ng abs-cbn ang limited episode and seasonal line up next year ha. new era of ph television habit na talaga.,so it looks like abs-cbn will really push for the limited episode and seasonal lineup next year. it's really a new era for ph television habits.
1463223626317004801,Di ba they tried it before Sineserye ata yun at Komiks pero di gaanobg kibagat kasi 2 months na yung pinakamatagal?,di'ba they tried it before sineserye ata yun at komiks pero di gaanobg kibagat kasi to months na yung pinakamatagal?,"didn't they try it before, i think it was sineserye and komiks, but it didn't really take off because two months was the longest?"
1463222735451000834,"yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di ba talaga makakapagwait yan ng weekend?","yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di'ba talaga makakapagwait yan ng weekend?","the special request, they did two this week. it's crazy, they didn't even do them at the same time. can't that really wait for the weekend?"
1463180516023144457,Wag kayo seryoso talaga ang ate Sheng @SB19Official #SB19 #Bazinga_SB19,wag kayo seryoso talaga ang ate sheng.,"don't you guys, ate sheng is really serious."
1463235710136238081,Hahaha... @_Nahleng_ ohhh Di ba.. Beke nemen..,hahaha. ohhh di'ba.. beke nemen.,hahaha... ohhh right.. maybe.. (beke nemen is slang for 'baka naman' or 'maybe')
1463081087941623808,Oh di ba kakaopen ko lang ng Twitter ulet may na mine na ko agad,oh di'ba kakaopen ko lang ng ulet may na mine na ko agad.,"oh, right? i just opened twitter again and i already 'mined' something."
1463083245604458496,ang daming bata sa mall tapos yung iba di pa nakafacemask??? di ba natatakot mga magulang nun,ang daming bata sa mall tapos yung iba di pa nakafacemask? di'ba natatakot mga magulang nun.,there are so many kids at the mall and some of them aren't even wearing facemasks??? aren't their parents scared?
1463084328540270592,totoo yan kahit dito din malapit samin daming bata tapos yung iba walang facemask,totoo yan kahit dito din malapit samin daming bata tapos yung iba walang facemask.,"that's true, even here near us, there are a lot of kids and some don't have facemasks."
1463085313367019521,parang mas nagwoworry pa ako sa kanila kesa sa mga magulang nila juskooo,parang mas nagwoworry pa ako sa kanila kesa sa mga magulang nila juskooo.,"it seems like i'm more worried about them than their parents, my gosh."
1463079837107908608,may bago akong pusa tulungan nyo ako ano ipapangalan ko,may bago akong pusa tulungan nyo ako ano ipapangalan ko.,"i have a new cat, help me what should i name it."
1463080036890656776,bimby na lang,bimby na lang.,just name it bimby.
1463080688278990848,bimby parang pilay na kuting,bimby parang pilay na kuting.,bimby sounds like a lame kitten.
1463080857137139714,????? DI BA PWEDENG ANAK NI KRIS,di'ba pwedeng anak ni kris.,????? can't it be kris's son?
1463080489485365248,finally found binder sleeves that is suitable for the carat kit binder and kasya yung non standard size pcs tapos 200 slots pa since back to back siya and affordable oh di ba pwede na ako endorser hahahaha,finally found binder sleeves that is suitable for the carat kit binder and kasya yung non standard size pcs tapos 200 slots pa since back to back siya and affordable oh di'ba pwede na ako endorser hahahaha.,"finally found binder sleeves that are suitable for the carat kit binder and the non-standard size pcs fit, plus it has 200 slots since it's back to back and it's affordable, oh right, i can be an endorser now, hahaha."
1463197801316192256,"gaga ka Brenda, ikay na fall ni Eian, maong niingon kang pa fall siya. HAHAHA loslos nimo bayota ka. Himu nasad kag issue","gaga ka brenda, ikay na fall ni eian, maong niingon kang pa fall siya. hahaha loslos nimo bayota ka. himu nasad kag issue.","you're stupid, brenda, you're the one who fell for eian, that's why you said he's a flirt. hahaha fuck you, you gay. you're making an issue again."
1463235202952667142,Di ba bwesit kaayo sya hahahaha giatay kolera kaayong dako murag gwapa feel jud nya patulan siyang eian. Dako jud kaayo siyag kasuko kang alexa🤣,di'ba bwesit kaayo siya hahahaha giatay kolera kaayong dako murag gwapa feel jud nya patulan siyang eian. dako jud kaayo siyag kasuko kang alexa.,"isn't she so annoying, hahaha, damn it, she's such a big cholera, as if she's beautiful, she really feels like eian would fall for her. she really has a big grudge against alexa."
1463210087099502592,Parang may lamay sa grammy eh noh antamlay magsalita di'ba kayo naka kaen,parang may lamay sa grammy eh noh antamlay magsalita di'ba kayo naka kaen.,"it's like there's a wake at the grammys, huh? they speak so listlessly, haven't you eaten?"
1463539247747579908,Lady how do you listen to that and think she sounds appealing in any way?,lady how do you listen to that and think she sounds appealing in any way?,lady how do you listen to that and think she sounds appealing in any way?
1463143614385569810,Happy for u mga burikats sana hnd kau tulad ng spaces beks na magpaparinigan sa twitter after meetup hahahaha. Labyu shurikats!,happy for ikaw mga burikats sana hnd kau tulad ng spaces beks na magpaparinigan sa after meetup hahahaha. labyu shurikats!,"happy for you, burikats. i hope you're not like the spaces beks who throw shade on twitter after the meetup, hahahaha. love you, shurikats!"
1463144574742790145,Sa mahal na laps pag anjan si Jannie. Sure na. Bet na bet ni bakla butasan ng bulsa,sa mahal na laps pag anjan si jannie. sure na. bet na bet ni bakla butasan ng bulsa.,at the expensive hangout place when jannie is there. for sure. the gay guy really loves to empty his pockets.
1463209493752283138,Ako nga yung kuripot di ba hahaha,ako nga yung kuripot di'ba hahaha.,"i'm the stingy one, right? hahaha."
1463230028200611840,IKAW ANG HUDAS! MISTRESS KA LANG- MANG AAGAW NG ASAWA!! Sino si RONNIE SABA DAYAN? DRIVER MO DI BA?,ikaw ang hudas! mistress ka lang- mang aagaw ng asawa!! sino si ronnie saba dayan? driver mo di'ba?,"you are the judas! you're just a mistress - a husband stealer!! who is ronnie saba dayan? your driver, right?"
1463082996605485058,di ba looped in? o parroting lang kasi epal silang pamilya,di'ba looped in? o parroting lang kasi epal silang pamilya.,aren't they looped in? or just parroting because their family is full of attention seekers.
1463233579895328772,di ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan,di'ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan.,can't i just tell sir that the lot had an earthquake so i can't make a floor plan?
1462742511185661952,The audacity of this guy! Commercial sa ABS-CBN?!,the audacity of this guy! commercial sa abs-cbn?!,the audacity of this guy! a commercial on abs-cbn?!
1463082686587674632,"So, doesn't ABS CBN have a choice? Di ba discretionary yan kung tatanggapin o hindi dahil private company naman?","so, doesn't abs cbn have a choice? di'ba discretionary yan kung tatanggapin o hindi dahil private company naman?","so, doesn't abs cbn have a choice? isn't it discretionary whether to accept it or not since it's a private company?"
1463072266044919821,gawain ni struggail bumabalik na sa kanya TT QUINCY WITH JOHN ADAJAR,gawain ni struggail bumabalik na sa kanya tt quincy with john adajar.,struggail's actions are coming back to her.
1463080761544765441,Di ba we learn from her ;) QUINCY WITH JOHN ADAJAR,di'ba we learn from her;) quincy with john adajar.,"right, we learn from her ;)"
1463092638001754115,tamah walang maleh ms. quincy,tamah walang maleh ms. quincy.,"correct, no mistake ms. quincy."
1463079998944776196,Di ba nakakaramdam tong Tatay ng tutee ko na di ako natatawa sa mga Daddy Jokes niya HAHAHA.,di'ba nakakaramdam tong tatay ng tutee ko na di ako natatawa sa mga daddy jokes niya hahaha.,doesn't my tutee's dad feel that i don't laugh at his daddy jokes? hahaha.
1463223386012717061,Bakit nandito pa ang mga ungas na rappler? Di ba kinansela na ng SEC ang lisensya nyo dahil mga fakenewsmaker kayo? Layas na kayo? Hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! Layas! Pweee!,bakit nandito pa ang mga ungas na rappler? di'ba kinansela na ng sec ang lisensya nyo dahil mga fakenewsmaker kayo? layas na kayo? hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! layas! pweee!,"why are these rappler idiots still here? didn't the sec already cancel your license because you're fakenewsmakers? get out of here! we don't need biased media, that's why your colleagues are in jail because of your fake news reports! get out! pweee!"
1463078981737979905,hala gagi kinuha akong ninang nung tomboy kong kaklase,hala gagi kinuha akong ninang nung tomboy kong kaklase.,"oh my god, my lesbian classmate asked me to be a godmother."
1463080459550617601,tomboy k din di ba,tomboy k din di'ba.,"you're a tomboy too, right?"
1463084052274049026,oo haha kilalanin mo binabangga mo.,oo haha kilalanin mo binabangga mo.,"yes, haha, know who you're messing with."
1463223004863746051,Sino ba ang nahnakaw kina Marcos? Ang AQUINO ang totoong nagnakaw sa kanila. Sila ang nagpasasa sa hindi kanila. WAG NGA KAYO TANGA! Manang mana kayo sa ina ninyo! Sayad sa lupa ang utak. Ipinagmamalaki ninyo? Ang talino di ba?,sino ba ang nahnakaw kina marcos? ang aquino ang totoong nagnakaw sa kanila. sila ang nagpasasa sa hindi kanila. wag nga kayo tanga! manang mana kayo sa ina ninyo! sayad sa lupa ang utak. ipinagmamalaki ninyo? ang talino di'ba?,"who stole from the marcoses? the aquinos are the real ones who stole from them. they are the ones who indulged in what was not theirs. don't be stupid! you are just like your mother! your brains are on the ground. you're proud of it? that's intelligence, right?"
1463079662033129472,DI BA KAYO KINAKABAHAN @OfficialMonstaX # #RushHour,di'ba kayo kinakabahan.,aren't you nervous?
1463082514378104837,FEELING KO NATATAE NA KO SA KABA @OfficialMonstaX # #RushHour,feeling ko natatae na ko sa kaba.,i feel like i'm going to poop from nervousness.
1463058506676719619,hulaan niyo na lang kung ano yung tama sa fake profile ko HAHA,hulaan niyo na lang kung ano yung tama sa fake profile ko haha.,just guess what's correct on my fake profile. haha.
1463083154919415812,Buti pa siya may jowa na di ba hahahuhu,buti pa siya may jowa na di'ba hahahuhu.,"good for her, she has a boyfriend now, right? hahahuhu."
1463219018165219330,Depende sa kanya kasi hindi niya sinubmit Fearless di ba haha,depende sa kanya kasi hindi niya sinubmit fearless di'ba haha.,"it depends on her because she didn't submit fearless, right? haha."
1463206555143213057,"Guys! nakuha talaga,marunong umuwi si Steb pag 8pm kakain na sila e. Ibalik n'yo na, tatlo na mag bibigay ng reward please lang balik n'yo na","guys! nakuha talaga,marunong umuwi si steb pag 8pm kakain na sila e. ibalik n'yo na, tatlo na mag bibigay ng reward please lang balik n'yo na.","guys! he was really taken, steb knows how to come home at 8pm when it's time for them to eat. please bring him back, three people will give a reward, please just bring him back."
1463233262482964482,Di ba pwede makita sa cctv?,di'ba pwede makita sa cctv?,can't it be seen on cctv?
1463245505031512074,Caris tu lo robas y si eso luego pides permiso.. jajaajj parodia parodia,caris tu lo robas why si eso luego pides permiso.. jajaajj parodia parodia.,"caris, you steal it and if so, then you ask for permission.. hahaha parody, parody."
1463051882922790917,"puro kayo dnb, ito naman :)","puro kayo dnb, ito naman.","you're all about dnb, how about this one :)"
1463083804151943168,Di ba uso move on sayo lods,di'ba uso move on sayo lods.,"isn't moving on a thing for you, lods?"
1463104475699187715,HINDI BEH MWUAPS,hindi beh mwuaps.,no beh mwuaps
1463082090136686592,ano?? Bakit ano?? Di ba yon tao?? Nuyon aso??,ano?? bakit ano?? di'ba yon tao?? nuyon aso?,"what?? why what?? isn't that a person?? what's that, a dog??"
1463219913791664128,into the i-land nanaman? Haha di ba kayo nagsasawa? 'cause same i miss hanbin yawa #throwbacktuesday,into the i-land nanaman? haha di'ba kayo nagsasawa? 'cause same i miss hanbin yawa.,"into the i-land again? haha aren't you getting tired of it? 'cause same, i miss hanbin, damn it."
1463103825636589573,🤣🤣🤣 getz na kita orb...kaso are gonna make suko na ba? susuka pero never susuko!!!,getz na kita are gonna make suko na ba? susuka pero never susuko!,"i get you now, orb...but are you gonna give up now? will vomit but will never surrender!"
1463243886306885633,what do you do ba when have makulog? we make putol it di ba? 🤣🤣🤣,what do you do ba when have makulog? we make putol it di'ba?,"what do you do when something is painful? we cut it off, right?"
1463228509606670336,"Umorder ako sa Shopee ng dress, a plain rust-colored dress. Na add to cart ko siya and na checkout, meaning available yung product. Aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di ba?","umorder ako sa shopee ng dress, a plain rust-colored dress. na add to cart ko siya and na checkout, meaning available yung product. aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di'ba?","i ordered a dress on shopee, a plain rust-colored dress. i added it to my cart and checked out, meaning the product was available. well, they replaced it with a different kind because they said it was out of stock and they didn't tell me, hahahaha. it's right for me to be annoyed, isn't it?"
1463081607607115776,Di ba kapag mobile data iba iba ang ip address nun?,di'ba kapag mobile data iba iba ang ip address nun?,"isn't it that when you use mobile data, the ip address changes?"
1463082453946359810,tama naman 'di ba laura este lola,tama naman 'di'ba laura este lola.,"it's correct, right laura, i mean lola."
1463021931507105802,morning mga aswang...ano nanngyari s usapan ntin ha...ngka linawan tlga tau....hahaha... @CulalaJennifer @CaePatricio @hazel_ometer @Meanne0315 @AngelikaTanola @MaeMugat #DeannaWong | Deanna Wong,morning mga nanngyari s usapan ntin linawan tlga. deanna wong.,morning you ghouls... what happened to our talk... we really came to an understanding.... hahaha... deanna wong.
1463039944184664064,bagsak kung bagsak hahaha,bagsak kung bagsak hahaha.,"fail if it's a fail, hahaha."
1463042707522146310,Ate hazel baka Naman palagay ng DT #DeannaWong | Deanna Wong,ate hazel baka naman palagay ng dt deanna wong.,"ate hazel, maybe you can put the dt."
1463044002307993607,sorry na bebe antok pa ksi #DeannaWong |deanna wong,sorry na bebe antok pa ksi deanna wong.,"sorry baby, i'm still sleepy."
1463044676244623361,Matulog Ka kase haha . #DeannaWong | Deanna Wong,matulog ka kase haha. deanna wong.,"because you should sleep, haha."
1463048773421043712,sbi nga nila mapapagod peo nd susuko hahha anu connect,sbi nga nila mapapagod peo nd susuko hahha anu connect.,"they say you get tired but never give up, haha, what's the connection?"
1463049539598708736,Hmmm ate hazel haha #DeannaWong | Deanna Wong,hmmm ate hazel haha deanna wong.,hmmm ate hazel haha
1463049869896077312,Wag tawa admin rufa ambag #DeannaWong| Deanna Wong,wag tawa admin rufa ambag deanna wong.,"don't laugh, admin rufa, contribute."
1463050145260392452,Kanina na ako umambag Saan ka Kasi kanina #DeannaWong | Deanna Wong,kanina na ako umambag saan ka kasi kanina deanna wong.,i already contributed earlier. where were you?
1463050433207934977,Nd ako ginising mg mga aswang eh,nd ako ginising mg mga aswang eh.,the ghouls didn't wake me up.
1463050849056280577,admin rufa si dela cruz ohh wla sia dt #DeannaWong |Deanna Wong,admin rufa si dela cruz ohh wla sia dt deanna wong.,"admin rufa, dela cruz oh, she doesn't have a dt."
1463053234537435136,Sumbong naman to kala mo bata lang #DEANNAWONG | Deanna Wong,sumbong naman to kala mo bata lang deanna wong.,"this one is telling on someone, you'd think they were just a kid."
1463061946274619393,Parang si Angie BA ? Parang grade one doc hahaha.. #DeannaWong | Deanna Wong,parang si angie ba? parang grade one doc hahaha.. deanna wong.,"is it like angie? she's like a grade one student, doc hahaha.."
1463064394737270784,Ohh bat nasali ako sa usapan nyo hahaha kayo2 Lang walang damayan hahaha #DeannaWong | Deanna Wong,ohh bat nasali ako sa usapan nyo hahaha kayo2 lang walang damayan hahaha deanna wong.,"ohh why am i included in your conversation, hahaha, it's just between you guys, no dragging others in, hahaha."
1463065469812805633,ay iba angie sge mag mute ka ng notifications mo mag sisi ka pag nahuli ka snabi ko sau nd na mbblik ang ngyri na #DeannaWong |Deanna Wong,ay iba angie sge mag mute ka ng notifications mo mag sisi ka pag nahuli ka snabi ko sau nd na mbblik ang ngyri na deanna wong.,"oh, angie is different. go ahead, mute your notifications. you'll regret it if you're late. i'm telling you, what happened can't be undone."
